Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,oppelo,wins,losses,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,Ethnicity
,0,12,1000,0,0,0,12000,0,0,23972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ali AlQaisi,1990,2,967.3584527,2,0,0,1969.387851,0,2,60,0,0,10.66666667,32,19.06666667,-3,1.466666667,20,0.333333333,-11,0,0,1.727777778,17.15,5.066666667,2,1.266666667,-6,4.333333333,36,9.6,32,0.8,-1,0.266666667,1,0.143359394,0.17336925,3.022978347,0.180670287,-0.077258295,2.212687402,0.103703704,1.155555556,4.6,0.097895903,-0.046620554,3.484940907,0.185185185,0.055555556,2.277777778,0.256491228,0.547368421,1.7,0.143032787,0.245603038,3.100111235,0.148148148,-0.402777778,2.375,0.088888889,0.333333333,4,Middle Eastern
Benito Lopez,1994,4,1001.014837,1,0,0,4053.819253,2,2,101,0.066666667,-8,101.999093,-522,107.1451247,-671,0,-20,0.066666667,-51,0,0,1.307566138,-50.3,30.66802721,-574,12.93061224,-175,58.40045351,227,82.32199546,-321,6.615873016,-3,13.06122449,-198,3.234410936,-0.307505613,12.38023057,3.366892766,-0.556766045,11.71120301,0,-20,10,1.966524894,-3.769622981,16.50947154,3.513564187,-5.942795699,4.333333333,5.029591837,5.071348941,7.654682274,2.72129858,-0.612153107,14.00017901,1.096296296,-4.111904762,21.98333333,3.265306122,-6.75,7.25,North American
Matt Grice,1981,7,957.0755312,1,0,0,6972.706622,2,5,201,5.504136253,-21,545.2138057,370,907.9149479,102,13.875,156,4.37080292,-116,0,-4,41.70357594,192.15,388.5598557,264,70.06301746,83,86.59093249,23,198.7404668,-36,173.8654314,248,172.6079075,158,8.587579783,16.21162385,90.44285696,11.38400177,12.80757462,70.36745158,2.118650794,2.321428571,112.6666667,5.020529206,7.197840437,94.67591486,7.339051239,11.18166667,82.14,10.9115903,3.808356676,65.33613445,6.021911216,12.00139005,101.2125012,8.663538009,0.760074627,80.375,4.555496837,-17.41881961,71.82,North American
Rob Font,1987,17,1053.407827,2,0,0,17970.94078,10,7,543,126.5915345,-461,10767.36895,53490,11620.49538,31529,70.31969289,-3204,17.44157489,-289,37.38237885,166,118.0647957,-7914.85,8665.658332,46298,1506.914285,12387,594.7963358,-5195,9162.613104,61173,500.3290737,2101,1104.426775,-9784,98.31110374,-90.82227908,900.8109164,101.2241092,-118.0061896,807.5993026,31.42383137,-178.5761905,1064.490476,93.24215826,-76.6253777,995.9601979,128.7763175,42.64285352,514.9763971,149.1152967,-142.1268227,271.51027,91.18593929,-61.08772711,967.6635083,128.3676924,329.7353646,945.2251082,112.3653676,-214.455848,801.002381,North American
Drew Dober,1988,22,1076.023788,0,1,0,22371.40735,13,8,668,749.6448983,1363,24021.13171,2701,26929.37096,-22969,47.4,-3886,4.821428571,-873,19.26666667,125,346.9968307,-3809.966667,16714.17401,-5449,4896.652367,4054,2410.305341,4096,16909.14803,3952,1678.3299,1006,5433.653787,-2257,465.6894464,-179.2563881,1948.431296,486.62228,-197.5599495,1813.323337,12.77714286,-784.3731602,2818.969697,419.9509067,-198.414451,2234.545007,597.0921692,193.7089162,1204.3504,558.7251797,144.9314408,1366.803968,358.3614797,-216.6509407,2152.188805,603.2967127,-17.84075815,1368.482707,673.8415923,592.4185714,2029.561905,North American
Clay Guida,1981,36,1003.90055,2,0,0,37204.81119,18,18,1189,624.2738218,-711,61131.54513,-180864,86589.21276,-107237,2616.181063,17562,368.3655764,-7193,374.0611418,1235,4779.3366,36748.91667,37836.1504,-251638,8928.273329,-15179,14367.1214,85953,40991.51182,-158351,4873.078923,-43566,15266.95438,21053,1586.855438,-346.6464632,9544.050785,1676.835181,-604.7716572,8307.311378,983.8867387,1393.597258,14155.88413,1138.67472,-1660.198429,10192.03706,1534.409499,1342.627559,8131.846999,3582.081003,2666.707094,4532.874603,1465.987601,-380.4981771,10552.59423,804.9392771,-2224.560531,6176.99933,1124.99164,-27.02302555,9908.349749,North American
Devonte Smith,1993,6,993.8577391,2,0,0,5968.738645,3,3,162,2.334390745,-29,350.860314,-507,447.4538363,-191,1.853281853,-9,1.853281853,16,0,-16,6.466501962,-203.7666667,200.8778398,148,83.50986871,-463,66.47260545,-192,255.0759468,-386,71.62054939,-76,24.1638178,-45,6.234495745,-0.090201563,44.29140253,6.674072572,0.898565489,40.03071716,1.853281853,3.5,78.5,4.6805715,1.996412941,58.9456044,7.889752702,-4.001785714,25.06964286,11.25151108,4.429545455,9.647727273,5.773552471,-1.982249521,47.97520837,5.181129184,11.46063241,45.78063241,2.929120788,-20.5030303,55.96363636,North American
Eddie Ruiz,1967,1,984.0812596,1,0,0,1001.764546,0,1,36,0,-1,0.2,-18,2,-27,0.133333333,2,0,-3,0.133333333,1,0.316666667,-2.233333333,0,-10,0.066666667,-9,0.133333333,1,0.133333333,-1,0.066666667,-13,0,-4,0.016666667,-0.275,0.475,0.046511628,-0.023844569,0.278481013,0.008333333,0.125,1,0,-0.384615385,0.615384615,0.033333333,-0.333333333,0.166666667,0.033333333,0,0.5,0.014814815,0.007936508,0.785714286,0.033333333,-0.323529412,0.176470588,0,-0.444444444,0.555555556,North American
Waylon Lowe,1980,4,1003.354007,1,0,0,4077.115588,2,2,122,0,-1,75.57663358,-153,111.2088916,-576,9.183085194,112,1.290322581,0,0,0,13.82583195,169.9666667,69.03899917,229,6.537634409,-160,0,-222,61.18924731,-36,7.340074442,35,7.047311828,-152,1.456196839,3.68911276,14.93052572,1.643223383,2.014860486,10.53579767,1.398768167,9.19047619,21,1.392689738,5.864812503,18.01616162,2.023655914,4.333333333,7.333333333,0,-24.11111111,5.888888889,1.360738065,6.081084813,18.13866874,1.471422663,-2.5,9.333333333,1.807185326,-3.247058824,3,North American
