Fighter,dob,totalfights,elo,losestreak,winstreak,titlewins,height,reach,southpaw,oppelo,wins,avg age,KD,KD differential,Sig. str.,Sig. str. differential,Total str.,Total str. differential,Td,Td differential,Sub. att,Sub. att differential,Rev.,Rev. differential,Ctrl,Ctrl differential,Head,Head differential,Body,Body differential,Leg,Leg differential,Distance,Distance differential,Clinch,Clinch differential,Ground,Ground differential,Sig. str.%,Sig. str.% differential,Sig. str.% defense,Total str.%,Total str.% differential,Total str.% defense,Td%,Td% differential,Td% defense,Head%,Head% differential,Head% defense,Body%,Body% differential,Body% defense,Leg%,Leg% differential,Leg% defense,Distance%,Distance% differential,Distance% defense,Clinch%,Clinch% differential,Clinch% defense,Ground%,Ground% differential,Ground% defense,last_fight
,0,12,1000.0,0,0,0,0,0,0,12000.0,0,23972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998-10-16 00:00:00
Chris Padilla,1995,5,1090.0124753637954,0,5,0,69,74,0,5054.706157688218,5,149,1.668520578420467,25.0,371.8503923786442,1780.0,444.277070431733,2308.0,2.3278612377611263,12.0,1.888300798200687,26.0,0.0,0.0,9.396535990013538,101.88333333333333,189.6100929976279,644.0,59.16652160088705,-160.0,123.07377778012923,1296.0,300.7899822767642,1289.0,28.892266203158265,0.0,42.16814389872173,491.0,29.79466254170846,5.723634935434951,30.92897239372649,32.799041687631636,7.198749927177946,29.399708239546307,9.333333333333332,3.999999999999999,49.66666666666667,25.18413547237077,6.904873844022089,36.72073837165132,36.6021505376344,-8.524801457738642,9.873048004626952,41.60731189027335,-0.093986811025351,13.2987012987013,27.804711306443046,4.954130333313055,32.14941902687001,46.095238095238095,16.5,25.4047619047619,32.23076923076923,32.23076923076923,55.0,2026-08-22 00:00:00
Matt Mitrione,1978,14,1056.5602876908938,2,0,0,75,82,0,14386.137718049795,9,481,125.36586233652541,499.0,5746.65296202673,-2060.0,6250.878465844333,-4968.0,0.0,-615.0,1.702127659574468,-235.0,0.0,-25.0,57.02794938125717,-891.1833333333334,5092.821605826598,-291.0,234.41838592318697,-3127.0,419.4129702769452,1358.0,2988.093543767652,1592.0,255.49709568124342,31.0,2503.062322577834,-3683.0,529.7620183598708,76.83922198273423,562.0772036228634,542.3913163442239,63.09940951795272,535.7080931737288,0.0,-269.6833333333333,745.3166666666667,468.90332610387964,61.345975164542985,607.4426490606634,480.675,112.74736513486513,647.0723651348652,676.7761904761905,277.3631469979296,615.5869565217391,479.78761792405413,63.96645319657474,599.1788352725206,256.0416666666667,-55.3138888888889,703.6444444444444,318.20108695652175,111.13928209471688,807.9381951381952,2016-01-17 00:00:00
Josh Haynes,1977,3,943.4313680362867,3,0,0,69,69,0,3002.098658803058,0,88,0.26666666666666666,-7.0,17.451372229338922,-402.0,27.685540157602574,-388.0,1.4279569892473118,9.0,0.0,-4.0,0.10830324909747291,1.0,1.314162493692015,1.0333333333333337,9.186677535809945,-271.0,4.87544738170102,-131.0,3.3892473118279574,0.0,11.653942005356935,-326.0,3.3974302239819885,-99.0,2.4,23.0,2.7472547254725472,-3.3935893114445213,7.859155963082932,3.8791914502635523,-2.7138982024005687,7.40691034733588,2.9166666666666665,2.1166666666666667,13.2,1.7028130671506352,-2.9737648768691693,9.323422055980195,9.527777777777779,-2.6007936507936513,1.871428571428571,9.2,-4.550000000000001,0.25,2.1339427662957076,-3.5388456217867983,8.327211611917495,6.267857142857142,-1.8947302697302701,5.837412587412587,1.8,1.077777777777778,13.277777777777779,2007-04-07 00:00:00
Tom Aspinall,1993,9,1137.4173796024415,0,3,2,77,78,0,9698.375789269443,8,259,184.65947984911656,211.0,3049.7174437277117,2578.0,3098.0974180537705,2742.0,17.32306375695336,63.0,8.130081300813009,34.0,0.0,0.0,40.39696926781186,94.05,2269.742747417506,2161.0,253.32112707428445,7.0,526.6535692359212,410.0,1636.1769066545562,674.0,44.8910569105691,163.0,1368.6494801625863,1741.0,198.20400409192328,106.03980307554838,192.83579898362507,199.11454859102884,109.38900102646527,195.27445243543642,38.0,38.0,285.0,169.1330518810395,94.91569423868185,210.78264235764237,134.71428571428572,17.714285714285715,168.0,139.0,65.5,211.5,169.12727272727273,76.47105751391466,192.34378478664195,46.85,42.35,280.5,206.93636363636364,206.93636363636364,285.0,2024-07-27 00:00:00
Peter Sobotta,1987,10,984.9351057266218,2,0,0,72,75,1,10248.27551305066,4,274,28.92368225686711,24.0,959.6536161343522,-1691.0,1465.517153496514,-117.0,35.7551592164552,247.0,12.27457627118644,78.0,0.26666666666666666,-85.0,82.28344090900245,195.2833333333333,652.7932264765469,-276.0,124.45284442801997,-1326.0,182.40754522978517,-89.0,799.5908908262684,681.0,18.758345204149126,-885.0,141.30438010393465,-1487.0,163.2003799991649,8.448090624833867,230.24771062566896,199.00318326551684,11.572207959790326,197.56902469427348,85.20238095238095,43.90238095238095,343.7,124.00129844579972,1.3688614906827077,262.367563044883,241.5530303030303,31.669342000122935,175.1163116970926,337.25,129.69285714285715,177.44285714285715,158.43995522581042,30.242135262517305,256.8021800367069,135.125,-84.94166666666666,164.93333333333334,80.03125,-222.50392316017314,82.46482683982684,2020-07-25 00:00:00
Dominick Reyes,1989,15,1092.7305508131851,0,1,0,76,77,1,16019.535815144587,10,480,218.6088869226968,32.0,6015.55936370992,13155.0,6864.669308096929,20038.0,9.637190938199677,-175.0,9.637190938199677,85.0,0.0,0.0,73.46607380827973,263.95,3861.0960709950937,12927.0,1176.5194232739536,2630.0,977.943869440873,-2402.0,4302.072908589006,2398.0,472.7372265495932,2716.0,1240.7492285713213,8041.0,643.9433133972869,63.07912923676689,659.1358158394798,646.2124014971911,47.59625418987343,641.3838526926824,85.0,-22.238095238095234,1132.7619047619048,424.3281705945606,-19.257670742585265,796.4141586628541,939.3112196626902,233.63253560165327,534.321315938963,995.8347282347281,393.84686589018764,638.0121376554594,614.1597653818662,55.210892435823524,681.0511270539573,393.6248778103617,17.367734953218815,863.7428571428571,423.31288421723207,16.812884217232067,833.5,2026-04-11 00:00:00
Andre Muniz,1990,10,1043.509855065518,2,0,0,73,78,1,10497.240203744623,6,322,0.0,-181.0,946.6020186491438,-4540.0,1327.0456859560322,-4833.0,98.53917420278248,907.0,15.303897050735127,-70.0,4.266666666666667,-115.0,88.00442601730121,423.19999999999993,459.8370362465445,-4173.0,198.68949083818734,-859.0,288.0754915644119,492.0,868.1033386789876,303.0,20.30619590130984,-98.0,58.192484068846404,-4745.0,175.233024869867,-12.493794326094012,197.27318080403901,195.88672036668143,-14.764586781303352,174.34869285201523,155.447619047619,62.94761904761904,292.5,132.2941514422931,-27.586508325094353,225.1193402326125,223.2871794871795,-79.46813186813188,82.24468864468864,360.22727272727275,33.02727272727273,57.80000000000001,168.11559846019918,4.307463973304191,221.19186551310503,79.0,-55.2,250.8,126.5,-85.75191040843214,172.74808959156786,2025-10-04 00:00:00
Spike Carlyle,1993,3,979.0915036396837,2,0,0,68,71,0,3004.2069332263886,1,81,0.0,0.0,37.78431372549019,-453.0,54.337254901960776,-967.0,3.2,31.0,0.6,1.0,1.4,8.0,5.066797385620915,17.46666666666667,30.878431372549016,-285.0,2.3333333333333335,-151.0,4.572549019607843,-17.0,16.011764705882353,-207.0,4.490196078431372,-117.0,17.28235294117647,-129.0,6.837739792196526,-2.930202791535531,4.232057416267943,7.149884893228547,-3.356041032697379,3.4940740740740748,4.769230769230769,-0.8974358974358969,8.333333333333334,6.267839267839268,-3.3653326449936616,4.36682808716707,7.375,-3.6684782608695654,2.9565217391304346,11.75,-0.24999999999999956,2.0000000000000004,7.133333333333333,-1.1214015151515153,5.745265151515152,7.8,-4.6000000000000005,1.5999999999999999,8.003864734299516,-3.153186547751765,2.842948717948718,2020-11-28 00:00:00
Sergey Khandozhko,1992,3,1024.7622158694605,0,1,0,73,74,0,3108.606845800894,2,84,2.012612612612613,10.0,58.34234234234235,136.0,101.809009009009,566.0,1.0396396396396397,-17.0,0.0,0.0,0.0,0.0,0.8772672672672673,-39.983333333333334,39.25405405405406,24.0,13.381981981981982,65.0,5.706306306306306,47.0,55.52972972972972,165.0,0.8666666666666667,-13.0,1.945945945945946,-16.0,5.891468877483879,0.35081952683452877,8.459350649350649,7.359140947715383,0.4570875256123749,7.097946577896992,9.166666666666666,-1.5666666666666667,3.266666666666667,4.644453711426189,0.11367381171425006,9.46922010028806,8.207407407407407,-4.792592592592593,1.0,13.33030303030303,-0.6696969696969696,0.0,5.792621942393978,0.8035153967656943,9.010893454371715,4.625,-5.263888888888889,4.111111111111111,3.6,-5.6,4.800000000000001,2022-04-23 00:00:00
