event_name,event_date,fighter1_name,fighter2_name,winner_name,fighter1_odds,fighter2_odds
ufc-fight-night-february-05-2022,Feb 5 2022,Alexis Davis,Julija Stoliarenko,Alexis Davis,-240,+195
ufc-fight-night-february-05-2022,Feb 5 2022,Chidi Njokuani,Marc-Andre Barriault,Chidi Njokuani,-110,-110
ufc-fight-night-february-05-2022,Feb 5 2022,Hakeem Dawodu,Michael Trizano,Hakeem Dawodu,-170,+150
ufc-fight-night-february-05-2022,Feb 5 2022,Jack Hermansson,Sean Strickland,Sean Strickland,+180,-220
ufc-fight-night-february-05-2022,Feb 5 2022,Jailton Almeida,Danilo Marques,Jailton Almeida,-380,+290
ufc-fight-night-february-05-2022,Feb 5 2022,Jason Witt,Phil Rowe,Phil Rowe,+120,-140
ufc-fight-night-february-05-2022,Feb 5 2022,Julian Erosa,Steven Peterson,Julian Erosa,-305,+240
ufc-fight-night-february-05-2022,Feb 5 2022,Malcolm Gordon,Denys Bondar,Malcolm Gordon,+230,-290
ufc-fight-night-february-05-2022,Feb 5 2022,Miles Johns,John Castaneda,John Castaneda,-170,+150
ufc-fight-night-february-05-2022,Feb 5 2022,Punahele Soriano,Nick Maximov,Nick Maximov,-190,+160
ufc-fight-night-february-05-2022,Feb 5 2022,Sam Alvey,Brendan Allen,Brendan Allen,+330,-435
ufc-fight-night-february-05-2022,Feb 5 2022,Shavkat Rakhmonov,Carlston Harris,Shavkat Rakhmonov,-255,+205
ufc-fight-night-february-05-2022,Feb 5 2022,Tresean Gore,Bryan Battle,Bryan Battle,-140,+120
ufc-271,Feb 12 2022,AJ Dobson,Jacob Malkoun,Jacob Malkoun,-115,-105
ufc-271,Feb 12 2022,Alexander Hernandez,Renato Moicano,Renato Moicano,+140,-160
ufc-271,Feb 12 2022,Andrei Arlovski,Jared Vanderaa,Andrei Arlovski,-155,+135
ufc-271,Feb 12 2022,Carlos Ulberg,Fabio Cherant,Carlos Ulberg,-265,+215
ufc-271,Feb 12 2022,Derrick Lewis,Tai Tuivasa,Tai Tuivasa,-170,+150
ufc-271,Feb 12 2022,Douglas Silva de Andrade,Sergey Morozov,Douglas Silva de Andrade,+175,-210
ufc-271,Feb 12 2022,Israel Adesanya,Robert Whittaker,Israel Adesanya,-280,+225
ufc-271,Feb 12 2022,Jared Cannonier,Derek Brunson,Jared Cannonier,-165,+145
ufc-271,Feb 12 2022,Jeremiah Wells,Blood Diamond,Jeremiah Wells,-225,+185
ufc-271,Feb 12 2022,King Green,Nasrat Haqparast,,-145,+125
ufc-271,Feb 12 2022,Kyler Phillips,Marcelo Rojo,Kyler Phillips,-435,+330
ufc-271,Feb 12 2022,Mana Martinez,Ronnie Lawrence,Ronnie Lawrence,+245,-310
ufc-271,Feb 12 2022,Roxanne Modafferi,Casey O'Neill,Casey O'Neill,+300,-400
ufc-271,Feb 12 2022,William Knight,Max Grishin,,+150,-170
ufc-271-2338,Feb 12 2022,Maxim Grishin,William Knight,Maxim Grishin,-176,+142
ufc-fight-night-february-19-2022,Feb 19 2022,Chad Anheliger,Jesse Strader,Chad Anheliger,-250,+200
ufc-fight-night-february-19-2022,Feb 19 2022,Chas Skelly,Mark Striegl,Chas Skelly,-200,+170
ufc-fight-night-february-19-2022,Feb 19 2022,Diana Belbita,Gloria de Paula,Gloria de Paula,-120,+100
ufc-fight-night-february-19-2022,Feb 19 2022,Gabriel Benitez,David Onama,David Onama,+145,-165
ufc-fight-night-february-19-2022,Feb 19 2022,Jessica-Rose Clark,Stephanie Egger,Stephanie Egger,-170,+150
ufc-fight-night-february-19-2022,Feb 19 2022,Jim Miller,Nikolas Motta,Jim Miller,+155,-180
ufc-fight-night-february-19-2022,Feb 19 2022,Joaquin Buckley,Abdul Razak Alhassan,Joaquin Buckley,-165,+145
ufc-fight-night-february-19-2022,Feb 19 2022,Johnny Walker,Jamahal Hill,Jamahal Hill,+200,-250
ufc-fight-night-february-19-2022,Feb 19 2022,Jonathan Pearce,Christian Rodriguez,Jonathan Pearce,-380,+290
ufc-fight-night-february-19-2022,Feb 19 2022,Kyle Daukaus,Jamie Pickett,Kyle Daukaus,-290,+230
ufc-fight-night-february-19-2022,Feb 19 2022,Mario Bautista,Jay Perrin,Mario Bautista,-365,+280
ufc-fight-night-february-19-2022,Feb 19 2022,Parker Porter,Alan Baudot,Parker Porter,-280,+225
ufc-fight-night-february-26-2022,Feb 26 2022,Alejandro Pérez,Jonathan Martinez,,+220,-275
ufc-fight-night-february-26-2022,Feb 26 2022,Arman Tsarukyan,Joel Álvarez,,-220,+180
ufc-fight-night-february-26-2022,Feb 26 2022,Armen Petrosyan,Gregory Rodrigues,Armen Petrosyan,+135,-155
ufc-fight-night-february-26-2022,Feb 26 2022,Islam Makhachev,King Green,,-900,+600
ufc-fight-night-february-26-2022,Feb 26 2022,Ji Yeon Kim,Priscila Cachoeira,Priscila Cachoeira,-160,+140
ufc-fight-night-february-26-2022,Feb 26 2022,Josiane Nunes,Ramona Pascual,Josiane Nunes,-220,+180
ufc-fight-night-february-26-2022,Feb 26 2022,Misha Cirkunov,Wellington Turman,Wellington Turman,-120,+100
ufc-fight-night-february-26-2022,Feb 26 2022,Ramiz Brahimaj,Micheal Gillmore,Ramiz Brahimaj,-380,+290
ufc-fight-night-february-26-2022,Feb 26 2022,Rongzhu,Ignacio Bahamondes,Ignacio Bahamondes,+170,-200
ufc-fight-night-february-26-2022,Feb 26 2022,Terrance McKinney,Farès Ziam,,-105,-115
ufc-fight-night-february-26-2022,Feb 26 2022,Victor Altamirano,Carlos Hernandez,Carlos Hernandez,+125,-145
ufc-272,Mar 5 2022,Brian Kelleher,Umar Nurmagomedov,Umar Nurmagomedov,+475,-675
ufc-272,Mar 5 2022,Colby Covington,Jorge Masvidal,Colby Covington,-320,+250
ufc-272,Mar 5 2022,Devonte Smith,Ludovit Klein,Ludovit Klein,-155,+135
ufc-272,Mar 5 2022,Edson Barboza,Bryce Mitchell,Bryce Mitchell,+145,-165
ufc-272,Mar 5 2022,Jalin Turner,Jamie Mullarkey,Jalin Turner,-155,+135
ufc-272,Mar 5 2022,Kevin Holland,Alex Oliveira,Kevin Holland,-320,+250
ufc-272,Mar 5 2022,Marina Rodriguez,Yan Xiaonan,Marina Rodriguez,-255,+205
ufc-272,Mar 5 2022,Maryna Moroz,Mariya Agapova,Maryna Moroz,+155,-180
ufc-272,Mar 5 2022,Nicolae Negumereanu,Kennedy Nzechukwu,Nicolae Negumereanu,+125,-145
ufc-272,Mar 5 2022,Rafael Dos Anjos,Renato Moicano,Rafael Dos Anjos,-165,+145
ufc-272,Mar 5 2022,Serghei Spivac,Greg Hardy,Serghei Spivac,-190,+160
ufc-272,Mar 5 2022,Tim Elliott,Tagir Ulanbekov,Tim Elliott,+205,-255
ufc-fight-night-204-2380,Mar 5 2022,Michal Oleksiejczuk,Dustin Jacoby,Dustin Jacoby,+165,-200
ufc-2414,Mar 12 2022,Damon Jackson,Kamuela Kirk,Damon Jackson,-120,-103
ufc-2414,Mar 12 2022,Drew Dober,Terrance McKinney,Drew Dober,-160,+130
ufc-2414,Mar 12 2022,Matthew Semelsberger,AJ Fletcher,Matthew Semelsberger,-200,+163
ufc-2414,Mar 12 2022,Trevin Jones,Javid Basharat,Javid Basharat,+134,-163
ufc-fight-night-march-12-2022,Mar 12 2022,Alex Pereira,Bruno Silva,Alex Pereira,-170,+150
ufc-fight-night-march-12-2022,Mar 12 2022,Dalcha Lungiambula,Cody Brundage,Cody Brundage,-120,+100
ufc-fight-night-march-12-2022,Mar 12 2022,JJ Aldrich,Gillian Robertson,JJ Aldrich,+135,-155
ufc-fight-night-march-12-2022,Mar 12 2022,Khalil Rountree Jr.,Karl Roberson,Khalil Rountree Jr.,-115,-105
ufc-fight-night-march-12-2022,Mar 12 2022,Kris Moutinho,Guido Cannetti,Guido Cannetti,-140,+120
ufc-fight-night-march-12-2022,Mar 12 2022,Marlon Moraes,Song Yadong,Song Yadong,+195,-240
ufc-fight-night-march-12-2022,Mar 12 2022,Sabina Mazo,Miranda Maverick,Miranda Maverick,+225,-280
ufc-fight-night-march-12-2022,Mar 12 2022,Sodiq Yusuff,Alex Caceres,Sodiq Yusuff,-250,+200
ufc-fight-night-march-12-2022,Mar 12 2022,Tafon Nchukwi,Azamat Murzakanov,Azamat Murzakanov,+125,-145
ufc-fight-night-march-12-2022,Mar 12 2022,Thiago Santos,Magomed Ankalaev,Magomed Ankalaev,+340,-450
ufc-fight-night-march-19-2022,Mar 19 2022,Alexander Volkov,Tom Aspinall,Tom Aspinall,+105,-125
ufc-fight-night-march-19-2022,Mar 19 2022,Arnold Allen,Dan Hooker,Arnold Allen,-115,-105
ufc-fight-night-march-19-2022,Mar 19 2022,Cory McKenna,Elise Reed,Elise Reed,-300,+235
ufc-fight-night-march-19-2022,Mar 19 2022,Gunnar Nelson,Takashi Sato,Gunnar Nelson,-525,+385
ufc-fight-night-march-19-2022,Mar 19 2022,Jack Shore,Timur Valiev,Jack Shore,-130,+110
ufc-fight-night-march-19-2022,Mar 19 2022,Jai Herbert,Ilia Topuria,Ilia Topuria,+435,-600
