event_name,event_date,fighter1_name,fighter2_name,sportsbook,cutoff_utc,fighter1_quote_ts,fighter2_quote_ts,kalshi_available
ufc-fight-night-january-13-2024,Jan 13 2024,Magomed Ankalaev,Johnny Walker,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T02:16:03.395743+00:00,2024-01-13T02:17:17.689855+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Jim Miller,Gabriel Benitez,fanduel,2024-01-13T08:00:00+00:00,2024-01-13T02:17:17.633436+00:00,2024-01-13T02:17:17.646367+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Ricky Simon,Mario Bautista,fanduel,2024-01-13T08:00:00+00:00,2024-01-13T00:46:18.300036+00:00,2024-01-13T00:46:18.278151+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Phil Hawes,Brunno Ferreira,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T00:15:58.263453+00:00,2024-01-13T00:21:39.238858+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Andrei Arlovski,Waldo Cortes Acosta,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T23:41:27.309642+00:00,2024-01-12T23:41:27.315537+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Matthew Semelsberger,Preston Parsons,fanduel,2024-01-13T08:00:00+00:00,2024-01-13T06:40:22.695153+00:00,2024-01-13T06:40:22.711026+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Marcus McGhee,Gaston Bolanos,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T22:56:21.651299+00:00,2024-01-12T22:56:21.664258+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Farid Basharat,Taylor Lapilus,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T13:21:18.284050+00:00,2024-01-12T22:26:00.024432+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Westin Wilson,Jean Silva,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T22:06:02.013629+00:00,2024-01-12T13:35:11.555375+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Nikolas Motta,Tom Nolan,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T21:41:59.978629+00:00,2024-01-12T21:41:59.971172+00:00,false
ufc-fight-night-january-13-2024,Jan 13 2024,Joshua Van,Felipe Bunes,fanduel,2024-01-13T08:00:00+00:00,2024-01-12T21:16:55.259555+00:00,2024-01-12T21:16:55.273869+00:00,false
ufc-297,Jan 20 2024,Sean Strickland,Dricus Du Plessis,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T05:16:20.340359+00:00,2024-01-20T05:16:20.358145+00:00,false
ufc-297,Jan 20 2024,Neil Magny,Mike Malott,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T04:16:09.970012+00:00,2024-01-20T04:16:10.009045+00:00,false
ufc-297,Jan 20 2024,Chris Curtis,Marc-Andre Barriault,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T03:50:52.697429+00:00,2024-01-20T03:50:52.704768+00:00,false
ufc-297,Jan 20 2024,Arnold Allen,Movsar Evloev,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T03:16:00.701992+00:00,2024-01-20T03:16:00.723154+00:00,false
ufc-297,Jan 20 2024,Brad Katona,Garrett Armfield,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T02:36:17.202064+00:00,2024-01-20T02:36:17.217265+00:00,false
ufc-297,Jan 20 2024,Charles Jourdain,Sean Woodson,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T02:10:59.748950+00:00,2024-01-20T02:10:59.758557+00:00,false
ufc-297,Jan 20 2024,Serhiy Sidey,Ramon Taveras,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T01:45:48.444169+00:00,2024-01-20T01:45:48.461974+00:00,false
ufc-297,Jan 20 2024,Yohan Lainesse,Sam Patterson,fanduel,2024-01-20T08:00:00+00:00,2024-01-20T00:31:02.732058+00:00,2024-01-20T00:31:02.747988+00:00,false
ufc-297,Jan 20 2024,Malcolm Gordon,Jimmy Flick,fanduel,2024-01-20T08:00:00+00:00,2024-01-19T23:45:46.869175+00:00,2024-01-18T23:40:29.667545+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Roman Dolidze,Nassourdine Imavov,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T15:11:08.671816+00:00,2024-02-03T02:31:00.516518+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Renato Moicano,Drew Dober,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T02:00:36.717275+00:00,2024-02-03T02:01:33.345191+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Randy Brown,Muslim Salikhov,fanduel,2024-02-03T08:00:00+00:00,2024-02-03T01:41:05.320420+00:00,2024-02-02T01:35:26.510048+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Gilbert Urbina,Charles Radtke,fanduel,2024-02-03T08:00:00+00:00,2024-02-03T00:21:17.099189+00:00,2024-02-02T00:15:23.347605+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Azat Maksum,Charles Johnson,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T23:31:17.503494+00:00,2024-02-02T23:31:17.527338+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Themba Gorimbo,Pete Rodriguez,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T22:46:25.164375+00:00,2024-02-02T22:46:25.182312+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,JeongYeong Lee,Blake Bilder,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T22:20:53.083349+00:00,2024-02-02T22:20:53.063234+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Landon Quinones,MarQuel Mederos,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T21:31:32.363153+00:00,2024-02-02T21:31:32.353992+00:00,false
ufc-fight-night-february-03-2024,Feb 03 2024,Thomas Petersen,Jamal Pogues,fanduel,2024-02-03T08:00:00+00:00,2024-02-02T21:15:53.803102+00:00,2024-02-02T21:15:53.823066+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Jack Hermansson,Joe Pyfer,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T02:50:18.287024+00:00,2024-02-10T02:50:18.332418+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Dan Ige,Andre Fili,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T02:20:15.253984+00:00,2024-02-10T02:20:15.265954+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Robert Bryczek,Ihor Potieria,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T01:50:36.179327+00:00,2024-02-10T01:50:36.189019+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Brad Tavares,Gregory Rodrigues,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T01:20:12.720471+00:00,2024-02-10T01:20:12.748360+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Michael Johnson,Darrius Flowers,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T00:45:15.850238+00:00,2024-02-10T00:45:15.858003+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Rodolfo Vieira,Armen Petrosyan,fanduel,2024-02-10T08:00:00+00:00,2024-02-10T00:20:28.047823+00:00,2024-02-10T00:20:28.138486+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Trevin Giles,Carlos Prates,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T23:40:22.925094+00:00,2024-02-09T23:40:22.936675+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Bolaji Oki,Timmy Cuamba,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T23:20:36.654501+00:00,2024-02-09T23:20:36.589710+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Devin Clark,Marcin Prachnio,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T22:30:29.468768+00:00,2024-02-09T16:00:30.089779+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Max Griffin,Jeremiah Wells,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T22:10:31.922480+00:00,2024-02-09T22:10:31.902662+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Zac Pauga,Bogdan Guskov,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T21:50:19.014648+00:00,2024-02-09T21:50:19.052430+00:00,false
ufc-fight-night-february-10-2024,Feb 10 2024,Fernie Garcia,Hyder Amil,fanduel,2024-02-10T08:00:00+00:00,2024-02-09T21:35:11.904346+00:00,2024-02-09T21:35:11.891250+00:00,false
ufc-298,Feb 17 2024,Alexander Volkanovski,Ilia Topuria,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T05:15:29.194565+00:00,2024-02-17T05:15:29.248538+00:00,false
ufc-298,Feb 17 2024,Robert Whittaker,Paulo Costa,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T04:45:09.796202+00:00,2024-02-17T04:45:09.803536+00:00,false
ufc-298,Feb 17 2024,Geoff Neal,Ian Machado Garry,fanduel,2024-02-17T08:00:00+00:00,2024-02-16T04:15:36.525433+00:00,2024-02-17T04:15:27.327098+00:00,false
ufc-298,Feb 17 2024,Merab Dvalishvili,Henry Cejudo,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T03:45:20.173387+00:00,2024-02-17T03:45:20.184616+00:00,false
ufc-298,Feb 17 2024,Anthony Hernandez,Roman Kopylov,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T03:20:23.573546+00:00,2024-02-16T03:15:16.522094+00:00,false
ufc-298,Feb 17 2024,Marcos Rogerio de Lima,Junior Tafa,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T02:25:23.834085+00:00,2024-02-17T02:25:23.849911+00:00,false
ufc-298,Feb 17 2024,Rinya Nakamura,Carlos Vera,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T01:40:24.238593+00:00,2024-02-17T01:40:24.291478+00:00,false
ufc-298,Feb 17 2024,Zhang Mingyang,Brendson Ribeiro,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T01:10:29.332585+00:00,2024-02-17T01:10:29.366601+00:00,false
ufc-298,Feb 17 2024,Josh Quinlan,Danny Barlow,fanduel,2024-02-17T08:00:00+00:00,2024-02-17T07:40:18.792189+00:00,2024-02-17T07:40:18.811413+00:00,false
ufc-298,Feb 17 2024,Oban Elliott,Val Woodburn,fanduel,2024-02-17T08:00:00+00:00,2024-02-16T23:46:08.022492+00:00,2024-02-15T23:45:37.621237+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Brandon Moreno,Brandon Royval,fanduel,2024-02-24T08:00:00+00:00,2024-02-23T05:45:12.542969+00:00,2024-02-24T05:45:25.043260+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Yair Rodriguez,Brian Ortega,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T05:15:15.780407+00:00,2024-02-24T05:15:15.801862+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Daniel Zellhuber,Francisco Prado,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T04:45:24.424056+00:00,2024-02-23T08:25:56.546063+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Manuel Torres,Chris Duncan,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T03:15:18.686986+00:00,2024-02-24T03:15:18.664898+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Cristian Quinonez,Raoni Barcelos,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T02:35:21.782461+00:00,2024-02-24T02:35:21.796673+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Jesus Aguilar,Mateus Mendonca,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T02:25:14.691395+00:00,2024-02-24T02:25:14.704924+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Edgar Chairez,Daniel Lacerda,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T01:50:23.403782+00:00,2024-02-24T01:50:23.386061+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Claudio Puelles,Fares Ziam,fanduel,2024-02-24T08:00:00+00:00,2024-02-23T08:31:05.742376+00:00,2024-02-24T01:25:19.883082+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Ronaldo Rodriguez,Denys Bondar,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T01:00:22.338951+00:00,2024-02-24T01:00:22.318039+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Victor Altamirano,Felipe dos Santos,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T00:35:11.765086+00:00,2024-02-24T00:35:11.757790+00:00,false
ufc-fight-night-february-24-2024,Feb 24 2024,Erik Silva,Muhammad Naimov,fanduel,2024-02-24T08:00:00+00:00,2024-02-24T00:10:15.472164+00:00,2024-02-24T00:10:15.456130+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Vitor Petrino,Tyson Pedro,fanduel,2024-03-02T08:00:00+00:00,2024-03-01T22:45:10.341599+00:00,2024-03-01T22:45:10.334110+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Alex Perez,Muhammad Mokaev,fanduel,2024-03-02T08:00:00+00:00,2024-03-02T07:45:51.101551+00:00,2024-03-02T07:45:51.147992+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Umar Nurmagomedov,Bekzat Almakhan,fanduel,2024-03-02T08:00:00+00:00,2024-03-01T21:45:58.951659+00:00,2024-03-01T21:45:58.990531+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Matt Schnell,Steve Erceg,fanduel,2024-03-02T08:00:00+00:00,2024-02-29T22:20:32.804522+00:00,2024-03-01T21:16:01.173225+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Eryk Anders,Jamie Pickett,fanduel,2024-03-02T08:00:00+00:00,2024-03-01T20:35:34.707023+00:00,2024-03-01T20:35:34.721869+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Vinicius Oliveira,Benardo Sopaj,fanduel,2024-03-02T08:00:00+00:00,2024-03-02T07:45:50.877411+00:00,2024-03-02T07:45:50.905500+00:00,false
ufc-fight-night-march-02-2024,Mar 02 2024,Aiemann Zahabi,Javid Basharat,fanduel,2024-03-02T08:00:00+00:00,2024-03-01T19:50:54.526844+00:00,2024-03-01T19:50:54.534107+00:00,false
