Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Date,Red Fighter,Red KD,Red Sig. str.,Red Total str.,Red Td,Red Sub. att,Red Rev.,Red Ctrl,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Total str.,Blue Td,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground,Red Sig. str.%,Red Total str.%,Red Td%,Red Head%,Red Body%,Red Leg%,Red Distance%,Red Clinch%,Red Ground%,Blue Sig. str.%,Blue Total str.%,Blue Td%,Blue Head%,Blue Body%,Blue Leg%,Blue Distance%,Blue Clinch%,Blue Ground%
UFC Welterweight Title Bout,Leon Edwards,Colby Covington,False,Decision - Unanimous,5,5.0,,Herb Dean,,"December 16, 2023",Leon Edwards,0.0,57.0,65.0,2.0,2.0,1.0,1.45,21.0,14.0,22.0,56.0,0.0,1.0,Colby Covington,0.0,44.0,109.0,2.0,0.0,0.0,5.066666666666666,20.0,7.0,17.0,44.0,0.0,0.0,0.5277777777777778,0.5603448275862069,0.6666666666666666,0.3387096774193548,0.6666666666666666,0.88,0.5233644859813084,0.0,1.0,0.3492063492063492,0.5618556701030928,0.2,0.23255813953488372,0.5833333333333334,0.6071428571428571,0.352,0.0,0.0
UFC Flyweight Title Bout,Alexandre Pantoja,Brandon Royval,False,Decision - Unanimous,5,5.0,,Marc Goddard,,"December 16, 2023",Alexandre Pantoja,0.0,95.0,126.0,8.0,1.0,0.0,15.85,49.0,22.0,24.0,74.0,5.0,16.0,Brandon Royval,0.0,111.0,281.0,0.0,0.0,2.0,0.7833333333333333,102.0,7.0,2.0,91.0,5.0,15.0,0.6089743589743589,0.6461538461538462,0.5714285714285714,0.48514851485148514,0.7333333333333333,0.96,0.5692307692307692,0.8333333333333334,0.8,0.5441176470588235,0.7205128205128205,0.0,0.5284974093264249,0.7777777777777778,1.0,0.5141242937853108,0.8333333333333334,0.7142857142857143
Welterweight Bout,Shavkat Rakhmonov,Stephen Thompson,False,Submission,2,4.933333333333334,,Jason Herzog,,"December 16, 2023",Shavkat Rakhmonov,0.0,28.0,73.0,1.0,2.0,0.0,7.75,24.0,4.0,0.0,5.0,10.0,13.0,Stephen Thompson,0.0,16.0,26.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,13.0,1.0,2.0,0.7777777777777778,0.8295454545454546,0.2,0.7741935483870968,0.8,0.0,0.625,0.6666666666666666,1.0,0.64,0.7027027027027027,0.0,0.4,1.0,1.0,0.5909090909090909,1.0,1.0
Lightweight Bout,Paddy Pimblett,Tony Ferguson,False,Decision - Unanimous,3,5.0,,Mark Smith,,"December 16, 2023",Tony Ferguson,0.0,62.0,90.0,0.0,0.0,0.0,0.0,35.0,23.0,4.0,51.0,0.0,11.0,Paddy Pimblett,1.0,106.0,151.0,1.0,0.0,0.0,8.883333333333333,73.0,13.0,20.0,66.0,0.0,40.0,0.5904761904761905,0.6716417910447762,0.0,0.5303030303030303,0.6571428571428571,1.0,0.5604395604395604,0.0,0.7857142857142857,0.6424242424242425,0.695852534562212,0.25,0.5748031496062992,0.7647058823529411,0.9523809523809523,0.6055045871559633,0.0,0.7142857142857143
Featherweight Bout,Josh Emmett,Bryce Mitchell,False,KO/TKO,1,1.95,,Herb Dean,,"December 16, 2023",Josh Emmett,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,Bryce Mitchell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.25,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Light Heavyweight Bout,Alonzo Menifield,Dustin Jacoby,False,Decision - Unanimous,3,5.0,,Chris Tognoni,,"December 16, 2023",Alonzo Menifield,1.0,68.0,95.0,1.0,0.0,0.0,2.05,58.0,2.0,8.0,51.0,14.0,3.0,Dustin Jacoby,0.0,93.0,113.0,0.0,0.0,0.0,2.1333333333333333,69.0,15.0,9.0,78.0,15.0,0.0,0.5811965811965812,0.6551724137931034,0.5,0.5576923076923077,0.5,0.8888888888888888,0.5425531914893617,0.7,1.0,0.62,0.6608187134502924,0.0,0.5655737704918032,0.8333333333333334,0.9,0.5777777777777777,1.0,0.0
Bantamweight Bout,Cody Garbrandt,Brian Kelleher,False,KO/TKO,1,3.7,,Marc Goddard,,"December 16, 2023",Cody Garbrandt,1.0,20.0,21.0,0.0,0.0,0.0,0.31666666666666665,16.0,2.0,2.0,16.0,4.0,0.0,Brian Kelleher,0.0,17.0,21.0,0.0,0.0,0.0,0.6,9.0,1.0,7.0,17.0,0.0,0.0,0.4878048780487805,0.5,0.0,0.43243243243243246,1.0,1.0,0.45714285714285713,0.6666666666666666,0.0,0.68,0.7241379310344828,0.0,0.6923076923076923,0.3333333333333333,0.7777777777777778,0.7083333333333334,0.0,0.0
Flyweight Bout,Tagir Ulanbekov,Cody Durden,False,Submission,2,4.416666666666667,,Chris Tognoni,,"December 16, 2023",Tagir Ulanbekov,1.0,24.0,45.0,2.0,5.0,1.0,6.05,19.0,4.0,1.0,15.0,5.0,4.0,Cody Durden,0.0,32.0,55.0,0.0,0.0,0.0,0.6,22.0,3.0,7.0,24.0,3.0,5.0,0.5853658536585366,0.7142857142857143,1.0,0.5428571428571428,0.8,1.0,0.46875,1.0,1.0,0.7441860465116279,0.8208955223880597,0.0,0.7096774193548387,1.0,0.7777777777777778,0.7058823529411765,0.75,1.0
Featherweight Bout,Andre Fili,Lucas Almeida,False,KO/TKO,1,3.533333333333333,,Jason Herzog,,"December 16, 2023",Andre Fili,1.0,20.0,25.0,0.0,0.0,0.0,0.25,16.0,3.0,1.0,8.0,0.0,12.0,Lucas Almeida,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,10.0,0.0,0.0,0.5555555555555556,0.5952380952380952,0.0,0.5517241379310345,0.5,1.0,0.38095238095238093,0.0,0.8,0.4,0.4,0.0,0.09090909090909091,0.0,0.6923076923076923,0.4,0.0,0.0
Heavyweight Bout,Shamil Gaziev,Martin Buday,False,KO/TKO,2,0.9333333333333333,,Mark Smith,,"December 16, 2023",Martin Buday,0.0,8.0,13.0,0.0,0.0,0.0,0.3333333333333333,8.0,0.0,0.0,8.0,0.0,0.0,Shamil Gaziev,0.0,49.0,60.0,0.0,0.0,0.0,2.3,35.0,14.0,0.0,35.0,5.0,9.0,0.4,0.5,0.0,0.42105263157894735,0.0,0.0,0.47058823529411764,0.0,0.0,0.5,0.5263157894736842,0.0,0.4430379746835443,0.7368421052631579,0.0,0.4794520547945205,0.5,0.6
