Red Fighter,Blue Fighter,Probability Win,Probability Lose
Leon Edwards,Colby Covington,0.5323792034677245,0.46213101583123034
Colby Covington,Leon Edwards,0.48093111582066633,0.5088857295907736
Alexandre Pantoja,Brandon Royval,0.5202430544272245,0.4739413782829869
Brandon Royval,Alexandre Pantoja,0.45288221738768986,0.5417778538144222
Shavkat Rakhmonov,Stephen Thompson,0.6920107686717469,0.29840179725224286
Stephen Thompson,Shavkat Rakhmonov,0.3807689156873868,0.6156702438700081
Paddy Pimblett,Tony Ferguson,0.5986828349594696,0.385687290725997
Tony Ferguson,Paddy Pimblett,0.34634939599726683,0.6453841329629191
Josh Emmett,Bryce Mitchell,0.4105251453760676,0.5858215160559032
Bryce Mitchell,Josh Emmett,0.6187724594823889,0.37606027024489586
Alonzo Menifield,Dustin Jacoby,0.40353267908915175,0.5854707828285012
Dustin Jacoby,Alonzo Menifield,0.6255803611358913,0.3704827552453423
Cody Garbrandt,Brian Kelleher,0.5516412359271368,0.44337997846903865
Brian Kelleher,Cody Garbrandt,0.5020542267313843,0.49164880982167897
Tagir Ulanbekov,Cody Durden,0.5074307998097384,0.48471252831555894
Cody Durden,Tagir Ulanbekov,0.5770925557389164,0.41454617448570946
Andre Fili,Lucas Almeida,0.5039541207094269,0.48655799709557873
Lucas Almeida,Andre Fili,0.5326477317755419,0.45960499012013895
