Red Fighter,Blue Fighter,Probability Win,Probability Lose
Michal Oleksiejczuk,Sam Alvey,0.7197173401169176,0.28028265988308243
Serghei Spivac,Augusto Sakai,0.6967657205946882,0.30323427940531184
Vicente Luque,Geoff Neal,0.5081068125177562,0.49189318748224375
Jamahal Hill,Thiago Santos,0.5839934408406793,0.4160065591593208
Ode Osbourne,Tyson Nam,0.4699888274934887,0.5300111725065113
Gabriel Benitez,Charlie Ontiveros,0.6444927605811394,0.3555072394188606
Gerald Meerschaert,Bruno Silva,0.6187871010870178,0.38121289891298216
Nate Landwehr,David Onama,0.5237387935012613,0.4762612064987387
Marlon Vera,Dominick Cruz,0.5945927283835403,0.40540727161645973
Francisco Figueiredo,Amir Albazi,0.2509789873080959,0.749021012691904
Leonardo Santos,Jared Gordon,0.3337765962363655,0.6662234037636343
Alexandr Romanov,Marcin Tybura,0.5116851271942885,0.4883148728057115
Harry Hunsucker,Tyson Pedro,0.296459448022535,0.7035405519774651
Jose Aldo,Merab Dvalishvili,0.3049374985060517,0.6950625014939483
Luke Rockhold,Paulo Costa,0.4097162325880216,0.5902837674119784
Leon Edwards,Kamaru Usman,0.5408882072671164,0.4591117927328838
John Makdessi,Nasrat Haqparast,0.4363880990046239,0.5636119009953762
Nathaniel Wood,Charles Jourdain,0.688122478062023,0.31187752193797696
Alessio Di Chirico,Roman Kopylov,0.42380251831500937,0.5761974816849906
Joaquin Buckley,Nassourdine Imavov,0.3666399616807746,0.6333600383192254
Marvin Vettori,Robert Whittaker,0.45974845518560903,0.540251544814391
Ciryl Gane,Tai Tuivasa,0.7067052238120358,0.29329477618796407
Chris Barnett,Jake Collier,0.42103984158017227,0.5789601584198278
Julian Erosa,Hakeem Dawodu,0.45785303873927824,0.5421469612607219
Johnny Walker,Ion Cutelaba,0.6051555754567535,0.39484442454324664
Li Jingliang,Daniel Rodriguez,0.2955083353021041,0.7044916646978959
Khamzat Chimaev,Kevin Holland,0.6777137570121139,0.32228624298788616
Nate Diaz,Tony Ferguson,0.5722481934503877,0.4277518065496123
Damon Jackson,Pat Sabatini,0.5327311221548016,0.46726887784519844
Marc-Andre Barriault,Anthony Hernandez,0.2975385189372336,0.7024614810627665
Tanner Boser,Rodrigo Nascimento,0.5674256344870108,0.43257436551298917
Bill Algeo,Andre Fili,0.43311065909969126,0.5668893409003088
Chidi Njokuani,Gregory Rodrigues,0.2418299451174278,0.758170054882572
Cory Sandhagen,Song Yadong,0.5071675021088164,0.4928324978911836
Randy Costa,Guido Cannetti,0.44969307043458,0.5503069295654199
Krzysztof Jotko,Brendan Allen,0.27568967027308633,0.7243103297269136
Joaquim Silva,Jesse Ronson,0.6160752425178058,0.38392475748219423
Ilir Latifi,Aleksei Oleinik,0.707123051290195,0.29287694870980496
Viacheslav Borshchev,Mike Davis,0.4143282532954379,0.5856717467045621
Trevin Jones,Raoni Barcelos,0.3165687786611343,0.6834312213388657
Francisco Trinaldo,Randy Brown,0.32459251450413096,0.675407485495869
Nick Maximov,Jacob Malkoun,0.4483097938172553,0.5516902061827447
Brandon Davis,Mana Martinez,0.29476358027560534,0.7052364197243947
Alonzo Menifield,Misha Cirkunov,0.694230130704223,0.305769869295777
Dusko Todorovic,Jordan Wright,0.6451528437453441,0.3548471562546559
Cub Swanson,Jonathan Martinez,0.35435764781090445,0.6456423521890955
Malcolm Gordon,Muhammad Mokaev,0.23073933863077684,0.7692606613692232
Volkan Oezdemir,Nikita Krylov,0.40477295815194675,0.5952270418480532
Makhmud Muradov,Caio Borralho,0.324188207142297,0.675811792857703
Sean Brady,Belal Muhammad,0.4031962029147966,0.5968037970852035
Beneil Dariush,Mateusz Gamrot,0.6494706409086947,0.35052935909130534
Petr Yan,Sean O'Malley,0.40277129706334625,0.5972287029366536
Aljamain Sterling,TJ Dillashaw,0.6760995990765547,0.3239004009234453
Charles Oliveira,Islam Makhachev,0.27996164992397304,0.7200383500760269
Steve Garcia,Chase Hooper,0.5487789271033825,0.4512210728966176
JunYong Park,Joseph Holmes,0.6465562059448094,0.35344379405519055
Marcos Rogerio de Lima,Andrei Arlovski,0.7541211262286768,0.2458788737713232
Phil Hawes,Roman Dolidze,0.4447210415757622,0.5552789584242379
Dustin Jacoby,Khalil Rountree Jr.,0.5480807511517141,0.4519192488482859
Max Griffin,Tim Means,0.590994258010398,0.409005741989602
Arnold Allen,Calvin Kattar,0.7760505441899653,0.22394945581003464
Mario Bautista,Benito Lopez,0.7562989338251537,0.24370106617484635
Grant Dawson,Mark Madsen,0.7109376189887511,0.28906238101124887
Tagir Ulanbekov,Nate Maness,0.6338914690365931,0.3661085309634068
Darrick Minner,Shayilan Nuerdanbieke,0.31268547292247906,0.6873145270775209
Daniel Rodriguez,Neil Magny,0.47471161817232144,0.5252883818276786
Carlos Ulberg,Nicolae Negumereanu,0.6323691126895385,0.3676308873104615
Montel Jackson,Julio Arce,0.6332014638995049,0.3667985361004951
Michael Trizano,SeungWoo Choi,0.6869584414149003,0.31304155858509974
Ottman Azaitar,Matt Frevola,0.4073630583209444,0.5926369416790556
Wellington Turman,Andre Petroski,0.3757026459426547,0.6242973540573453
Ryan Spann,Dominick Reyes,0.5836052954499436,0.41639470455005656
Renato Moicano,Brad Riddell,0.6451252275839867,0.3548747724160132
Claudio Puelles,Dan Hooker,0.4921553289820265,0.5078446710179735
Chris Gutierrez,Frankie Edgar,0.7189502387911381,0.2810497612088619
Michael Chandler,Dustin Poirier,0.3237176629849069,0.6762823370150931
Alex Pereira,Israel Adesanya,0.5507819143349084,0.4492180856650916
Ricky Turcios,Kevin Natividad,0.6280753545858898,0.37192464541411013
Miles Johns,Vince Morales,0.7276587142481101,0.2723412857518899
Danny Roberts,Jack Della Maddalena,0.21909416416391445,0.7809058358360856
Muslim Salikhov,Andre Fialho,0.6668002794514758,0.33319972054852426
Ion Cutelaba,Kennedy Nzechukwu,0.34591422758252677,0.6540857724174731
Darren Elkins,Jonathan Pearce,0.22834298360608773,0.7716570163939123
Michael Johnson,Marc Diakiese,0.44996566024131796,0.5500343397586821
Clay Guida,Scott Holtzman,0.5708954063869336,0.4291045936130664
Phil Rowe,Niko Price,0.5662423093963475,0.43375769060365243
Kyle Daukaus,Eryk Anders,0.4484874173358235,0.5515125826641765
Jack Hermansson,Roman Dolidze,0.49801084497142317,0.5019891550285769
Tai Tuivasa,Sergei Pavlovich,0.3703099815968809,0.6296900184031192
Matheus Nicolau,Matt Schnell,0.7027101365028485,0.29728986349715136
Bryan Barberena,Rafael Dos Anjos,0.39555846294825087,0.6044415370517491
Kevin Holland,Stephen Thompson,0.4898814327533757,0.5101185672466244
Billy Quarantillo,Alexander Hernandez,0.5232681802960168,0.4767318197039831
Chris Curtis,Joaquin Buckley,0.4909044485810746,0.5090955514189254
Edmen Shahbazyan,Dalcha Lungiambula,0.7593967487446789,0.24060325125532117
Jairzinho Rozenstruik,Chris Daukaus,0.6141364848696054,0.3858635151303947
Ilia Topuria,Bryce Mitchell,0.4367372276429221,0.5632627723570779
Darren Till,Dricus Du Plessis,0.20787923439719025,0.7921207656028096
Santiago Ponzinibbio,Alex Morono,0.58810883841314,0.41189116158686
Jared Gordon,Paddy Pimblett,0.46499896108830174,0.5350010389116983
Journey Newson,Sergey Morozov,0.2744392725454012,0.7255607274545988
David Dvorak,Manel Kape,0.38068615520439764,0.6193138447956024
Said Nurmagomedov,Saidyokub Kakhramonov,0.5320050487257282,0.4679949512742718
Matthew Semelsberger,Jake Matthews,0.4021185797327337,0.5978814202672664
Michal Oleksiejczuk,Cody Brundage,0.6266004388545057,0.3733995611454944
Drew Dober,Bobby Green,0.4385130627103722,0.5614869372896278
Julian Erosa,Alex Caceres,0.3173111046510056,0.6826888953489945
Arman Tsarukyan,Damir Ismagulov,0.6112840963500398,0.38871590364996017
Sean Strickland,Jared Cannonier,0.5832800389735846,0.4167199610264154
Raoni Barcelos,Umar Nurmagomedov,0.26667515042018175,0.7333248495798184
Roman Kopylov,Punahele Soriano,0.5711538573519797,0.4288461426480203
Damon Jackson,Dan Ige,0.37750201050787047,0.6224979894921295
Nassourdine Imavov,Sean Strickland,0.44195087334215755,0.5580491266578426
Nicolas Dalby,Warlley Alves,0.44840389567743194,0.551596104322568
Jailton Almeida,Shamil Abdurakhimov,0.7402851301080668,0.25971486989193304
Johnny Walker,Paul Craig,0.6305879723112493,0.3694120276887507
Gilbert Burns,Neil Magny,0.6641538970151781,0.3358461029848218
Deiveson Figueiredo,Brandon Moreno,0.38990109758428065,0.6100989024157194
Glover Teixeira,Jamahal Hill,0.4560635917210645,0.5439364082789355
Denis Tiuliulin,JunYong Park,0.24522657460659877,0.7547734253934012
Marcin Tybura,Blagoy Ivanov,0.5638195940146187,0.4361804059853814
Da Woon Jung,Devin Clark,0.5096200752807579,0.4903799247192421
Derrick Lewis,Serghei Spivac,0.26506575401005156,0.7349342459899485
Josh Culibao,Melsik Baghdasaryan,0.6131050026703637,0.3868949973296362
Modestas Bukauskas,Tyson Pedro,0.5171844650626523,0.48281553493734786
Parker Porter,Justin Tafa,0.3339287518047002,0.6660712481952997
Randy Brown,Jack Della Maddalena,0.4207331487099085,0.5792668512900915
Josh Emmett,Yair Rodriguez,0.3554931322802507,0.6445068677197493
Islam Makhachev,Alexander Volkanovski,0.5934806859112719,0.4065193140887282
Philipe Lins,Ovince Saint Preux,0.5806230524480592,0.41937694755194077
Alexander Hernandez,Jim Miller,0.633244920313522,0.36675507968647797
William Knight,Marcin Prachnio,0.42102871995482716,0.5789712800451728
Ode Osbourne,Charles Johnson,0.4701147526648836,0.5298852473351163
Don'Tale Mayes,Augusto Sakai,0.47652364291798277,0.5234763570820171
Brendan Allen,Andre Muniz,0.6190064475896324,0.38099355241036764
Song Kenan,Ian Garry,0.19890818884689693,0.8010918111531031
Julian Marquez,Marc-Andre Barriault,0.44225272932081455,0.5577472706791855
Derek Brunson,Dricus Du Plessis,0.2642081740438812,0.7357918259561188
Trevin Jones,Cody Garbrandt,0.2796564118371792,0.720343588162821
Jalin Turner,Mateusz Gamrot,0.4848463786626713,0.5151536213373287
Geoff Neal,Shavkat Rakhmonov,0.29794404326360724,0.7020559567363928
Jon Jones,Ciryl Gane,0.6325064760020923,0.3674935239979077
Carlston Harris,Jared Gooden,0.596464005739659,0.40353599426034104
Tyson Nam,Bruno Silva,0.3618299484858727,0.6381700515141273
Tony Gravely,Victor Henry,0.48563391023282554,0.5143660897671745
Davey Grant,Raphael Assuncao,0.5568540250970665,0.4431459749029335
Mario Bautista,Guido Cannetti,0.7074647320690965,0.29253526793090345
Jonathan Martinez,Said Nurmagomedov,0.6630209299726748,0.3369790700273252
Ryan Spann,Nikita Krylov,0.34653709053348103,0.653462909466519
Alexandr Romanov,Alexander Volkov,0.3826294920124024,0.6173705079875976
