event_name,event_date,fighter1_name,fighter2_name,winner_name,fighter1_odds,fighter2_odds,source_name,source_url,source_note
ufc-318,Jul 19 2025,Francisco Prado,Nikolay Veretennikov,Nikolay Veretennikov,-148,+124,MMA Mania,https://www.mmamania.com/2025/7/19/24466427/following-the-money-ufc-318-betting-line-movements-tracker-dustin-poirier-vs-max-holloway-3,Friday morning line movement tracker current line
ufc-318,Jul 19 2025,Jimmy Crute,Marcin Prachnio,Jimmy Crute,-355,+280,MMA Mania,https://www.mmamania.com/2025/7/19/24466427/following-the-money-ufc-318-betting-line-movements-tracker-dustin-poirier-vs-max-holloway-3,Friday morning line movement tracker current line
ufc-318,Jul 19 2025,Kevin Holland,Daniel Rodriguez,Daniel Rodriguez,-625,+455,MMA Mania,https://www.mmamania.com/2025/7/19/24466427/following-the-money-ufc-318-betting-line-movements-tracker-dustin-poirier-vs-max-holloway-3,Friday morning line movement tracker current line
ufc-318,Jul 19 2025,Kyler Phillips,Vinicius Oliveira,Vinicius Oliveira,+120,-142,MMA Mania,https://www.mmamania.com/2025/7/19/24466427/following-the-money-ufc-318-betting-line-movements-tracker-dustin-poirier-vs-max-holloway-3,Friday morning line movement tracker current line
ufc-318,Jul 19 2025,Ryan Spann,Lukasz Brzeski,Ryan Spann,-245,+200,MMA Mania,https://www.mmamania.com/2025/7/19/24466427/following-the-money-ufc-318-betting-line-movements-tracker-dustin-poirier-vs-max-holloway-3,Friday morning line movement tracker current line
ufc-fight-night-june-25-2022,Jun 25 2022,Shayilan Nuerdanbieke,TJ Brown,Shayilan Nuerdanbieke,+175,-190,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL fight history for TJ Brown vs Yilan Sha
ufc-281,Nov 12 2022,Carla Esparza,Zhang Weili,Zhang Weili,+290,-320,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL allFights carla-esparza-vs-weili-zhang-42384
ufc-fight-night-may-20-2023,May 20 2023,Maheshate,Viacheslav Borshchev,Viacheslav Borshchev,+140,-160,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL allFights maheshate-maheshate-vs-viecheslav-borshchev-44914
ufc-fight-night-august-26-2023,Aug 26 2023,Junior Tafa,Parker Porter,Junior Tafa,-145,+125,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL allFights junior-tafa-vs-parker-porter-48195
ufc-fight-night-march-02-2024,Mar 2 2024,Vinicius Oliveira,Benardo Sopaj,Vinicius Oliveira,-123,+115,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL bestStraightOutcome fallback for vinicius-de-oliveira-vs-benardo-sopaj-52587; aggregate fighter1 odds was null
ufc-318,Jul 19 2025,Brunno Ferreira,Jackson McVey,Brunno Ferreira,-460,+360,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL allFights brunno-ferreira-vs-jackson-mcvey-62625
ufc-318,Jul 19 2025,Carli Judice,Nicolle Caliari,Carli Judice,-400,+300,FightOdds,https://api.fightodds.io/gql,FightOdds GraphQL allFights carli-judice-vs-nicolle-caliari-61665
