Fighter,oppelo,wins,losses,dob,totalfights,elo,losestreak,winstreak,titlewins,KD,Sig. str.,Total str.,Td,Sub. att,Rev.,Ctrl,Sig. str,Head,Body,Leg,Distance,Clinch,Ground,Sig. str.%,Total str.%,Td%,Sig. str%,Head%,Body%,Leg%,Distance%,Clinch%,Ground%
,26488000.0,0,0,0,42,1000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Kyle,13972.074560201097,2,1,1980,3,1014.1297089137686,0,1,0,6.0,88.0,293.0,9.0,-2.0,0.0,15.283333333333331,88.0,50.0,39.0,-1.0,25.0,36.0,27.0,2.3388888888888886,2.295804195804196,9.0,2.3388888888888886,2.2,5.0,-4.0,2.025,-2.8888888888888893,3.55
Chris Duncan,5061.693218573927,2,0,1993,2,1031.8986624064523,0,2,0,0.0,206.0,213.0,13.0,0.0,-1.0,9.683333333333334,206.0,136.0,72.0,-2.0,194.0,6.0,6.0,0.272968225189245,0.28270574404574733,2.357142857142857,0.272968225189245,0.43926196565582765,0.7571428571428575,-1.218018018018018,0.25073059360730576,0.16666666666666663,0.0
Galore Bofando,5157.646476777795,1,1,1982,2,1000.5571244707388,1,0,0,4.0,-21.0,-110.0,-3.0,0.0,0.0,-9.55,-21.0,-24.0,1.0,2.0,17.0,0.0,-38.0,0.09871794871794892,-0.4531468531468531,-3.0,0.09871794871794892,0.00584795321637438,0.0,0.6666666666666666,1.7619047619047619,0.0,0.2523219814241484
Gerald Meerschaert,2536505.0212551598,10,9,1987,19,1012.5411650049257,2,0,0,-246.0,1375.0,-16258.0,-831.0,1319.0,310.0,-968.2500000000003,1375.0,3054.0,-3608.0,1929.0,6714.0,2085.0,-7424.0,-77.78559825219351,-176.18129841164944,-297.6143939393939,-77.78559825219351,-149.29779890795024,10.219807969807931,-32.33452380952377,-51.89643166291557,-142.47402597402598,-712.7013503670186
Jordan Johnson,30201.57165051082,4,0,1988,4,1061.564752742683,0,4,0,0.0,526.0,1834.0,78.0,34.0,0.0,138.96666666666667,526.0,572.0,-25.0,-21.0,91.0,-72.0,507.0,9.153949092276587,10.851710721951928,15.76969696969697,9.153949092276587,11.064471233060754,6.102707749766574,-4.380952380952381,2.2278305516106847,12.075438596491228,6.344078947368422
Fabio Gurgel,1000.0,0,1,0,1,984.0,1,0,0,0.0,-16.0,-164.0,0.0,1.0,-1.0,0,-16.0,-8.0,-4.0,-4.0,0.0,-4.0,-12.0,-0.19047619047619047,-0.009589947089947093,-0.6666666666666667,-0.19047619047619047,-0.31818181818181823,0.0,-0.8,0.0,0.0,-0.8571428571428571
Austin Springer,1023.4114941631739,0,1,1987,1,985.0765103214517,1,0,0,0.0,-4.0,-4.0,0.0,-1.0,0.0,-0.11666666666666665,-4.0,-8.0,-2.0,6.0,-5.0,1.0,0.0,-0.14314516129032262,-0.14314516129032262,0.0,-0.14314516129032262,-0.32352941176470584,-0.6,0.30000000000000004,-0.16129032258064518,1.0,0.0
Caio Machado,1016.7309527343377,0,1,1994,1,984.7698938221754,1,0,0,0.0,37.0,34.0,-3.0,0.0,-1.0,-6.050000000000001,37.0,8.0,22.0,7.0,34.0,3.0,0.0,0.17779839208410642,0.13164590278996313,-0.3,0.17779839208410642,0.06894158473105844,0.2564102564102565,0.0,0.19241825368307586,-0.33333333333333337,0.33333333333333337
Loik Radzhabov,5064.0,1,1,1990,2,1000.0,1,0,0,-9.0,-166.0,-211.0,7.0,-5.0,-1.0,-0.4666666666666659,-166.0,-51.0,-41.0,-74.0,-164.0,0.0,-2.0,-0.9073164748015349,-0.9521540188206854,-3.4761904761904763,-0.9073164748015349,-0.4082358415933733,0.2598039215686273,-3.6,-0.9014221635330859,-0.5,0.0
