id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_opponentexp,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_opponentexp,result,method,round,time
1,UFC 63: Hughes vs Penn,"Sep. 23, 2006",Danny Abbadi,155 lbs.,"5' 11""",--,"Jul 03, 1983",0,-18,-1,-1,0.0,0,1,0,4-6-0,0,0.0,Jorge Gurgel,155 lbs.,"5' 7""","69""","Jan 25, 1977",0,-7,0,0,0.0,0,1,0,14-10-0,0,0.0,loss,S-DEC,3,5:00
2,UFC 6: Clash of the Titans,"Jul. 14, 1995",David Abbott,265 lbs.,"6' 0""",--,--,2,7,0,0,1.0,1,1,1,10-15-0,0,0.0,Paul Varelans,300 lbs.,"6' 8""",--,--,1,-1,0,0,1.0,1,1,1,9-9-0,0,0.5198412698412699,win,KO/TKO,1,1:53
3,UFC 6: Clash of the Titans,"Jul. 14, 1995",David Abbott,265 lbs.,"6' 0""",--,--,1,10,0.5,0,1.0,2,2,2,10-15-0,0,0.0,Oleg Taktarov,210 lbs.,"6' 0""",--,"Aug 26, 1967",0,-4,-0.5,0.75,0.75,2,4,3,17-5-2,0,0.5198412698412699,loss,SUB,1,17:45
4,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",David Abbott,265 lbs.,"6' 0""",--,--,0.6666666666666666,11,1,-1,0.6666666666666666,0,3,2,10-15-0,1,0.16666666666666666,Steve Jennum,215 lbs.,"5' 10""",--,--,0,8,1.5,0,1.0,2,2,2,2-3-0,1,0.5198412698412699,win,SUB,1,1:14
5,UFC - Ultimate Ultimate '95,"Dec. 16, 1995",David Abbott,265 lbs.,"6' 0""",--,--,0.5,8.5,1,-0.5,0.75,1,4,3,10-15-0,1,0.375,Dan Severn,250 lbs.,"6' 2""",--,"Jun 08, 1958",0,0.5,1,0.125,0.75,1,8,6,101-19-1,3,0.5198412698412699,loss,U-DEC,1,18:00
6,UFC 11: The Proving Ground,"Sep. 20, 1996",David Abbott,265 lbs.,"6' 0""",--,--,0.4,-4,0.6,-0.4,0.6,0,5,3,10-15-0,1,0.4428571428571429,Sam Adkins,225 lbs.,"6' 3""",--,"Apr 26, 1965",0,-5,-1,0,0.0,0,1,0,7-20-2,0,0.5198412698412699,win,SUB,1,2:06
7,UFC 11: The Proving Ground,"Sep. 20, 1996",David Abbott,265 lbs.,"6' 0""",--,--,0.3333333333333333,-2,0.6666666666666666,-0.16666666666666666,0.6666666666666666,1,6,4,10-15-0,1,0.4801587301587302,Scott Ferrozzo,323 lbs.,"5' 11""",--,"Apr 26, 1965",0,2,2,0,0.0,0,1,0,4-2-0,0,0.5198412698412699,loss,U-DEC,2,3:00
8,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",David Abbott,265 lbs.,"6' 0""",--,--,0.2857142857142857,-7.285714285714286,0.5714285714285714,-0.14285714285714285,0.5714285714285714,0,7,4,10-15-0,1,0.41156462585034015,Cal Worsham,230 lbs.,"5' 11""",--,--,-0.5,4.5,0.5,0,0.5,1,2,1,13-10-0,0,0.5198412698412699,win,KO/TKO,1,2:51
9,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",David Abbott,265 lbs.,"6' 0""",--,--,0.25,-6.5,0.5,0,0.625,1,8,5,10-15-0,1,0.4226190476190476,Steve Nelmark,240 lbs.,"6' 0""",--,--,0,9,2,1,1.0,1,1,1,2-1-0,0,0.5198412698412699,win,KO/TKO,1,1:03
10,UFC - Ultimate Ultimate '96,"Dec. 07, 1996",David Abbott,265 lbs.,"6' 0""",--,--,0.3333333333333333,-5,0.5555555555555556,0,0.6666666666666666,2,9,6,10-15-0,1,0.4867724867724868,Don Frye,219 lbs.,"6' 1""",--,"Nov 23, 1965",0.1111111111111111,6.111111111111111,-0.1111111111111111,-0.1111111111111111,0.8888888888888888,2,9,8,20-9-1 (1 NC),2,0.5198412698412699,loss,SUB,1,1:22
11,UFC 13: The Ultimate Force,"May. 30, 1997",David Abbott,265 lbs.,"6' 0""",--,--,0.3,-3.8,0.5,-0.2,0.6,0,10,6,10-15-0,2,0.5238095238095238,Vitor Belfort,185 lbs.,"6' 0""","74""","Apr 01, 1977",1,12.5,0,0,1.0,2,2,2,26-14-0 (1 NC),0,0.5198412698412699,loss,KO/TKO,1,0:52
12,UFC 15: Collision Course,"Oct. 17, 1997",David Abbott,265 lbs.,"6' 0""",--,--,0.2727272727272727,-4.636363636363637,0.36363636363636365,-0.18181818181818182,0.5454545454545454,0,11,6,10-15-0,2,0.5670995670995671,Maurice Smith,221 lbs.,"6' 2""",--,"Dec 13, 1961",0,36,-2,-2,1.0,1,1,1,12-14-0,1,0.5198412698412699,loss,SUB,1,8:08
13,UFC - Ultimate Japan,"Dec. 21, 1997",David Abbott,265 lbs.,"6' 0""",--,--,0.3333333333333333,-4.833333333333333,0.3333333333333333,-0.25,0.5,0,12,6,10-15-0,3,0.6031746031746031,Yoji Anjo,,,,,,,,,,,,,,,,win,U-DEC,2,3:00
14,UFC 17: Redemption,"May. 15, 1998",David Abbott,265 lbs.,"6' 0""",--,--,0.3076923076923077,-4.153846153846154,0.5384615384615384,-0.3076923076923077,0.5384615384615384,1,13,7,10-15-0,3,0.5567765567765568,Hugo Duarte,,,,,,,,,,,,,,,,win,KO/TKO,1,0:43
15,UFC - Ultimate Brazil,"Oct. 16, 1998",David Abbott,265 lbs.,"6' 0""",--,--,0.2857142857142857,-3.0714285714285716,0.42857142857142855,-0.2857142857142857,0.5714285714285714,2,14,8,10-15-0,3,0.5170068027210885,Pedro Rizzo,,,,,,,,,,,,,,,,loss,KO/TKO,1,8:07
16,UFC 41: Onslaught,"Feb. 28, 2003",David Abbott,265 lbs.,"6' 0""",--,--,0.13333333333333333,-3.4,0.4666666666666667,-0.26666666666666666,0.5333333333333333,0,15,8,10-15-0,3,0.48253968253968255,Frank Mir,264 lbs.,"6' 3""","79""","May 24, 1979",0,-7.333333333333333,0,1.6666666666666667,0.6666666666666666,0,3,2,18-11-0,0,0.5198412698412699,loss,SUB,1,0:46
