name,kd_differential,str_differential,td_differential,sub_differential,winrate,winstreak,losestreak,totalwins,totalfights,titlefights,titlewins,age_deviation,opp_avg_elo,elo,dob,kowin,koloss,subwin,subloss,udecwin,udecloss,mdecwin,mdecloss,sdecwin,sdecloss
Tom Aaron,0.0,0.0,0.0,0.0,0.6666666666666666,0,1,2,3,0,0,2707,1000.0,1014.5304984710244,"Jul 13, 1978",0,0,1,1,0,1,0,0,0,0
Danny Abbadi,0.0,-12.666666666666666,-1.0,-1.0,0.0,0,3,0,3,0,0,642,1011.7816089170069,953.6309667604497,"Jul 03, 1983",0,0,1,1,0,0,0,0,0,1
Nariman Abbasov,-1.0,-40.0,-1.0,0.0,0.0,0,2,0,2,0,0,1319,1023.2652492355122,969.4695015289755,"Feb 01, 1994",0,0,0,0,1,1,0,0,0,0
David Abbott,-0.07407407407407407,-1.5555555555555556,0.48148148148148145,-0.4444444444444444,0.4444444444444444,0,8,12,27,4,0,1825,1021.188998371482,948.5180315588321,--,6,8,3,6,1,3,0,0,0,0
Hamdy Abdelwahab,1.0,11.0,3.0,0.0,0.0,0,0,0,2,0,0,1656,1031.268080544235,1002.9359269158961,"Jan 22, 1993",0,0,0,0,0,0,0,0,0,0
Shamil Abdurakhimov,-0.08333333333333333,-6.333333333333333,-0.5,0.0,0.4166666666666667,0,4,5,12,0,0,5991,1035.8031995383224,984.8128802261203,"Sep 02, 1981",3,6,0,0,2,0,0,0,1,0
Hiroyuki Abe,-0.5,-9.0,-1.0,-0.5,0.0,0,2,0,4,0,0,1825,1010.6129091534049,972.1459897379742,--,0,0,1,1,0,0,0,0,0,0
Daichi Abe,0.5,-2.75,0.25,0.0,0.5,0,2,2,4,0,0,580,1018.6359983854795,1000.6494100996404,"Nov 27, 1991",0,0,0,0,1,3,0,0,0,0
Papy Abedi,-0.4,-4.6,0.8,0.0,0.2,0,1,1,5,0,0,3718,1045.277523971002,964.6790929424881,"Jun 30, 1978",0,1,1,2,0,0,0,0,1,0
Ricardo Abreu,1.3333333333333333,4.0,1.0,0.6666666666666666,0.6666666666666666,0,1,2,3,0,0,2237,979.722206534161,1011.627833252175,"Apr 27, 1984",0,0,1,1,0,0,0,0,0,1
Klidson Abreu,-0.6666666666666666,-13.166666666666666,0.16666666666666666,0.0,0.16666666666666666,0,2,1,6,0,0,894,1023.0944584688995,962.4405657404135,"Dec 24, 1992",0,0,0,0,2,1,0,0,1,1
Cyborg Abreu,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Dec 20, 1980",0,0,0,0,0,0,0,0,0,0
Daniel Acacio,0.2,13.2,-0.2,-0.6,0.6,0,2,3,5,0,0,1811,1015.1498806199388,1014.5120279546278,"Dec 27, 1977",1,1,0,1,1,1,0,0,0,0
John Adajar,-1.0,-11.0,0.0,-3.0,0.0,0,2,0,2,0,0,2186,1023.2652492355122,969.4695015289755,"Jun 22, 1991",0,0,1,1,0,0,0,0,0,0
Scott Adams,0.0,0.0,1.0,3.0,1.0,2,0,2,2,0,0,1825,976.7347507644877,1030.5304984710244,--,0,0,1,1,0,0,0,0,0,0
Juan Adams,-0.16666666666666666,25.166666666666668,-0.16666666666666666,0.0,0.5,0,3,3,6,0,0,1125,1000.2995555960874,993.9648663602438,"Jan 16, 1992",2,3,0,0,0,1,0,0,0,0
Anthony Adams,0.0,-38.666666666666664,-1.0,0.0,0.0,0,3,0,3,0,0,2774,1030.0925440348785,956.2528663663891,"Jan 13, 1988",0,0,0,0,0,1,0,0,1,1
Zarrukh Adashev,-0.8,3.8,0.0,0.2,0.2,0,1,1,5,0,0,1777,995.2329298948238,954.8703457785236,"Jul 29, 1992",1,2,0,0,1,1,0,0,0,0
Israel Adesanya,0.7647058823529411,15.882352941176471,-1.2352941176470589,0.17647058823529413,0.8235294117647058,0,1,14,17,11,8,3342,1093.6867272461786,1165.9576255758527,"Jul 22, 1989",5,2,0,0,7,2,0,0,1,0
Sam Adkins,0.0,-3.0,-0.5,-0.16666666666666666,0.5,0,1,3,6,0,0,2345,1000.5021326525915,1000.6478308820164,"Apr 26, 1965",2,2,1,0,1,0,0,0,0,0
Nick Agallar,-1.0,-28.0,0.0,0.0,0.0,0,2,0,2,0,0,47,1067.396289207521,973.56124502767,"Jan 13, 1979",1,1,0,0,0,0,0,0,0,0
Mariya Agapova,0.2857142857142857,2.2857142857142856,-1.8571428571428572,-0.14285714285714285,0.2857142857142857,0,2,2,7,0,0,169,1019.1685181760728,962.2448189283799,"Apr 07, 1997",0,1,2,2,1,1,0,0,0,0
Marcelo Aguiar,0.0,-16.0,-2.0,0.0,0.0,0,2,0,2,0,0,1825,1049.4995753781309,971.9163825507146,--,1,1,0,0,0,0,0,0,0,0
Fabio Aguiar,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,"Feb 10, 1988",0,0,0,0,0,0,0,0,0,0
Edwin Aguilar,0.0,0.0,0.0,0.0,0.0,0,2,0,2,0,0,1825,1023.2652492355122,969.4695015289755,--,1,1,0,0,0,0,0,0,0,0
Jessica Aguilar,-0.16666666666666666,-30.833333333333332,-0.8333333333333334,-0.16666666666666666,0.16666666666666666,0,2,1,6,0,0,4350,1016.8845519165443,945.4355866347157,"May 08, 1982",0,0,0,1,2,3,0,0,0,0
Kevin Aguilar,0.0,-10.625,-0.875,0.0,0.5,0,4,4,8,0,0,2813,1016.6141183335499,995.6796728632773,"Sep 07, 1988",0,1,0,0,2,2,0,0,1,2
Jesus Aguilar,0.25,5.25,0.75,-0.75,0.75,1,0,3,4,0,0,853,1003.593702445195,1030.96398247017,"Mar 13, 1996",1,0,1,2,0,0,0,0,0,0
Christian Aguilera,0.0,-2.8,-0.4,-0.8,0.4,0,3,2,5,0,0,1632,1013.1396678168892,983.4801074974276,"Nov 25, 1991",1,1,1,2,0,0,0,0,0,0
Nick Aguirre,0.0,-33.0,-4.0,-1.0,0.0,0,2,0,2,0,0,736,996.0865558382795,966.9176164272421,"Jan 15, 1996",0,0,0,0,1,1,0,0,0,0
Mike Aina,0.0,-34.666666666666664,-1.3333333333333333,-0.6666666666666666,0.0,0,2,0,3,0,0,1825,1093.2876417141595,981.315919248718,--,0,0,0,0,0,0,0,0,1,1
Ashiek Ajim,-2.0,-5.0,0.0,0.0,0.0,0,2,0,2,0,0,1202,1023.2652492355122,969.4695015289755,"Jun 19, 1994",1,1,0,0,0,0,0,0,0,0
