Title,Winner,Loser,Draw,Method,Round,Time,Time Format,Referee,Details,Red Fighter,Red KD,Red Sig. str.,Red Sig. str. %,Red Total str.,Red Td,Red Td %,Red Sub. att,Red Rev.,Red Ctrl,Red Sig. str,Red Head,Red Body,Red Leg,Red Distance,Red Clinch,Red Ground,Blue Fighter,Blue KD,Blue Sig. str.,Blue Sig. str. %,Blue Total str.,Blue Td,Blue Td %,Blue Sub. att,Blue Rev.,Blue Ctrl,Blue Sig. str,Blue Head,Blue Body,Blue Leg,Blue Distance,Blue Clinch,Blue Ground
UFC Welterweight Title Bout,Leon Edwards,Colby Covington,False,Decision - Unanimous,5,5:00,,Herb Dean,,Leon Edwards,0,57 of 108,52%,65 of 116,2 of 3,66%,2,1,1:27,57 of 108,21 of 62,14 of 21,22 of 25,56 of 107,0 of 0,1 of 1,Colby Covington,0,44 of 126,34%,109 of 194,2 of 10,20%,0,0,5:04,44 of 126,20 of 86,7 of 12,17 of 28,44 of 125,0 of 1,0 of 0
UFC Flyweight Title Bout,Alexandre Pantoja,Brandon Royval,False,Decision - Unanimous,5,5:00,,Marc Goddard,,Alexandre Pantoja,0,95 of 156,60%,126 of 195,8 of 14,57%,1,0,15:51,95 of 156,49 of 101,22 of 30,24 of 25,74 of 130,5 of 6,16 of 20,Brandon Royval,0,111 of 204,54%,281 of 390,0 of 1,0%,0,2,0:47,111 of 204,102 of 193,7 of 9,2 of 2,91 of 177,5 of 6,15 of 21
Welterweight Bout,Shavkat Rakhmonov,Stephen Thompson,False,Submission,2,4:56,,Jason Herzog,,Shavkat Rakhmonov,0,28 of 36,77%,73 of 88,1 of 5,20%,2,0,7:45,28 of 36,24 of 31,4 of 5,0 of 0,5 of 8,10 of 15,13 of 13,Stephen Thompson,0,16 of 25,64%,26 of 37,0 of 0,---,0,0,0:00,16 of 25,6 of 15,7 of 7,3 of 3,13 of 22,1 of 1,2 of 2
Lightweight Bout,Paddy Pimblett,Tony Ferguson,False,Decision - Unanimous,3,5:00,,Mark Smith,,Tony Ferguson,0,62 of 105,59%,90 of 134,0 of 0,---,0,0,0:00,62 of 105,35 of 66,23 of 35,4 of 4,51 of 91,0 of 0,11 of 14,Paddy Pimblett,1,106 of 165,64%,151 of 217,1 of 4,25%,0,0,8:53,106 of 165,73 of 127,13 of 17,20 of 21,66 of 109,0 of 0,40 of 56
Featherweight Bout,Josh Emmett,Bryce Mitchell,False,KO/TKO,1,1:57,,Herb Dean,,Josh Emmett,1,2 of 10,20%,2 of 10,0 of 0,---,0,0,0:00,2 of 10,1 of 4,1 of 5,0 of 1,2 of 10,0 of 0,0 of 0,Bryce Mitchell,0,0 of 3,0%,0 of 3,0 of 0,---,0,0,0:00,0 of 3,0 of 1,0 of 0,0 of 2,0 of 3,0 of 0,0 of 0
Light Heavyweight Bout,Alonzo Menifield,Dustin Jacoby,False,Decision - Unanimous,3,5:00,,Chris Tognoni,,Alonzo Menifield,1,68 of 117,58%,95 of 145,1 of 2,50%,0,0,2:03,68 of 117,58 of 104,2 of 4,8 of 9,51 of 94,14 of 20,3 of 3,Dustin Jacoby,0,93 of 150,62%,113 of 171,0 of 0,---,0,0,2:08,93 of 150,69 of 122,15 of 18,9 of 10,78 of 135,15 of 15,0 of 0
Women's Bantamweight Bout,Irene Aldana,Karol Rosa,False,Decision - Unanimous,3,5:00,,Jason Herzog,,Irene Aldana,0,145 of 308,47%,145 of 308,0 of 0,---,0,0,0:00,145 of 308,122 of 276,20 of 28,3 of 4,145 of 308,0 of 0,0 of 0,Karol Rosa,0,204 of 350,58%,204 of 350,0 of 1,0%,0,0,0:00,204 of 350,103 of 237,6 of 11,95 of 102,204 of 349,0 of 1,0 of 0
Bantamweight Bout,Cody Garbrandt,Brian Kelleher,False,KO/TKO,1,3:42,,Marc Goddard,,Cody Garbrandt,1,20 of 41,48%,21 of 42,0 of 0,---,0,0,0:19,20 of 41,16 of 37,2 of 2,2 of 2,16 of 35,4 of 6,0 of 0,Brian Kelleher,0,17 of 25,68%,21 of 29,0 of 1,0%,0,0,0:36,17 of 25,9 of 13,1 of 3,7 of 9,17 of 24,0 of 1,0 of 0
Women's Flyweight Bout,Ariane Lipski,Casey O'Neill,False,Submission,2,1:18,,Mark Smith,,Casey O'Neill,0,31 of 74,41%,32 of 75,0 of 2,0%,0,0,0:20,31 of 74,17 of 57,3 of 3,11 of 14,29 of 72,2 of 2,0 of 0,Ariane Lipski,0,64 of 127,50%,86 of 152,1 of 1,100%,1,0,0:58,64 of 127,45 of 106,16 of 18,3 of 3,37 of 95,9 of 11,18 of 21
Flyweight Bout,Tagir Ulanbekov,Cody Durden,False,Submission,2,4:25,,Chris Tognoni,,Tagir Ulanbekov,1,24 of 41,58%,45 of 63,2 of 2,100%,5,1,6:03,24 of 41,19 of 35,4 of 5,1 of 1,15 of 32,5 of 5,4 of 4,Cody Durden,0,32 of 43,74%,55 of 67,0 of 0,---,0,0,0:36,32 of 43,22 of 31,3 of 3,7 of 9,24 of 34,3 of 4,5 of 5
