id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_losestreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,fighter_titlewins,fighter_age_deviation,fighter_elo,fighter_opp_avg_elo,fighter_kowin,fighter_koloss,fighter_subwin,fighter_subloss,fighter_udecwin,fighter_udecloss,fighter_sdecwin,fighter_sdecloss,fighter_mdecwin,fighter_mdecloss,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_losestreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,opponent_titlewins,opponent_age_deviation,opponent_elo,opponent_opp_avg_elo,opponent_kowin,opponent_koloss,opponent_subwin,opponent_subloss,opponent_udecwin,opponent_udecloss,opponent_sdecwin,opponent_sdecloss,opponent_mdecwin,opponent_mdecloss,result,method,round,time
,,unknown,Sean Strickland,,,,"Feb 27, 1991",0.10526315789473684,22.31578947368421,0.5263157894736842,0.21052631578947367,0.7368421052631579,4,0,38,28,,0,0,2687,1209.195682664588,1073.038311211968,6,6,1,1,8,8,4,4,0,0,Dricus Du Plessis,,,,"Jan 14, 1994",0.6666666666666666,29.0,1.1666666666666667,0.5,1.0,12,0,12,12,,0,0,1642,1218.59477656598,1126.1686056288179,4,4,1,1,1,1,0,0,0,0,unknown,,,
,,unknown,Dricus Du Plessis,,,,"Jan 14, 1994",0.6666666666666666,29.0,1.1666666666666667,0.5,1.0,12,0,12,12,,0,0,1642,1218.59477656598,1126.1686056288179,4,4,1,1,1,1,0,0,0,0,Sean Strickland,,,,"Feb 27, 1991",0.10526315789473684,22.31578947368421,0.5263157894736842,0.21052631578947367,0.7368421052631579,4,0,38,28,,0,0,2687,1209.195682664588,1073.038311211968,6,6,1,1,8,8,4,4,0,0,unknown,,,
,,unknown,Raquel Pennington,,,,"Sep 05, 1988",0.0,9.529411764705882,-0.23529411764705882,0.5294117647058824,0.7058823529411765,10,0,34,24,,2,0,3424,1194.7339226040833,1045.9342524713866,1,1,3,3,8,8,5,5,0,0,Mayra Bueno Silva,,,,"Aug 22, 1991",0.0,-4.7,-0.9,0.9,0.7,8,0,20,14,,0,0,2525,1128.2895665154897,1008.2115419180936,0,0,6,6,3,3,0,0,0,0,unknown,,,
,,unknown,Mayra Bueno Silva,,,,"Aug 22, 1991",0.0,-4.7,-0.9,0.9,0.7,8,0,20,14,,0,0,2525,1128.2895665154897,1008.2115419180936,0,0,6,6,3,3,0,0,0,0,Raquel Pennington,,,,"Sep 05, 1988",0.0,9.529411764705882,-0.23529411764705882,0.5294117647058824,0.7058823529411765,10,0,34,24,,2,0,3424,1194.7339226040833,1045.9342524713866,1,1,3,3,8,8,5,5,0,0,unknown,,,
,,unknown,Neil Magny,,,,"Aug 03, 1987",-0.1935483870967742,13.35483870967742,0.4838709677419355,-0.03225806451612903,0.6774193548387096,0,2,62,42,,0,0,4040,1202.6129884795207,1104.1338116923655,7,7,7,7,14,14,3,3,0,0,Mike Malott,,,,"Nov 07, 1991",0.5,8.5,0.25,0.75,1.0,8,0,8,8,,0,0,2413,1112.7958730200676,996.656168979487,1,1,3,3,0,0,0,0,0,0,unknown,,,
,,unknown,Mike Malott,,,,"Nov 07, 1991",0.5,8.5,0.25,0.75,1.0,8,0,8,8,,0,0,2413,1112.7958730200676,996.656168979487,1,1,3,3,0,0,0,0,0,0,Neil Magny,,,,"Aug 03, 1987",-0.1935483870967742,13.35483870967742,0.4838709677419355,-0.03225806451612903,0.6774193548387096,0,2,62,42,,0,0,4040,1202.6129884795207,1104.1338116923655,7,7,7,7,14,14,3,3,0,0,unknown,,,
,,unknown,Chris Curtis,,,,"Jul 15, 1987",0.5,-9.875,-0.375,-0.25,0.625,0,2,16,10,,0,0,3989,1094.7350617699663,1077.31097587949,4,4,0,0,3,3,0,0,0,0,Marc-Andre Barriault,,,,"Feb 18, 1990",0.18181818181818182,8.181818181818182,-1.7272727272727273,-0.09090909090909091,0.45454545454545453,4,0,22,10,,0,0,3040,1046.016130168074,1017.6808546582756,3,3,2,2,4,4,1,1,0,0,unknown,,,
,,unknown,Marc-Andre Barriault,,,,"Feb 18, 1990",0.18181818181818182,8.181818181818182,-1.7272727272727273,-0.09090909090909091,0.45454545454545453,4,0,22,10,,0,0,3040,1046.016130168074,1017.6808546582756,3,3,2,2,4,4,1,1,0,0,Chris Curtis,,,,"Jul 15, 1987",0.5,-9.875,-0.375,-0.25,0.625,0,2,16,10,,0,0,3989,1094.7350617699663,1077.31097587949,4,4,0,0,3,3,0,0,0,0,unknown,,,
,,unknown,Arnold Allen,,,,"Jan 22, 1994",0.2727272727272727,6.363636363636363,-0.09090909090909091,-0.09090909090909091,0.9090909090909091,0,2,22,20,,0,0,1550,1237.080281047406,1080.1731192175641,2,2,2,2,6,6,1,1,0,0,Movsar Evloev,,,,"Feb 11, 1994",0.0,27.428571428571427,3.5714285714285716,-0.7142857142857143,1.0,14,0,14,14,,0,0,1551,1196.2817099684326,1040.345564080439,0,0,0,0,6,6,1,1,0,0,unknown,,,
,,unknown,Movsar Evloev,,,,"Feb 11, 1994",0.0,27.428571428571427,3.5714285714285716,-0.7142857142857143,1.0,14,0,14,14,,0,0,1551,1196.2817099684326,1040.345564080439,0,0,0,0,6,6,1,1,0,0,Arnold Allen,,,,"Jan 22, 1994",0.2727272727272727,6.363636363636363,-0.09090909090909091,-0.09090909090909091,0.9090909090909091,0,2,22,20,,0,0,1550,1237.080281047406,1080.1731192175641,2,2,2,2,6,6,1,1,0,0,unknown,,,
