id,event,date,fighter_name,fighter_weight,fighter_height,fighter_reach,fighter_dob,fighter_kd_differential,fighter_str_differential,fighter_td_differential,fighter_sub_differential,fighter_winrate,fighter_winstreak,fighter_totalfights,fighter_totalwins,fighter_record,fighter_titlefights,opponent_name,opponent_weight,opponent_height,opponent_reach,opponent_dob,opponent_kd_differential,opponent_str_differential,opponent_td_differential,opponent_sub_differential,opponent_winrate,opponent_winstreak,opponent_totalfights,opponent_totalwins,opponent_record,opponent_titlefights,result,method,round,time
1,not needed,not needed,Max Holloway,145 lbs.,"5' 11""","69""","Dec 04, 1991",0.35714285714285715,38.464285714285715,-0.5714285714285714,0.25,0.75,0,28,21,25-7-0,9,Chan Sung Jung,145 lbs.,"5' 7""","72""","Mar 17, 1987",-0.14285714285714285,-7.285714285714286,-0.2857142857142857,0.42857142857142855,0.5,0,14,7,17-8-0,2,not needed,not needed,not needed,not needed
2,not needed,not needed,Anthony Smith,205 lbs.,"6' 4""","76""","Jul 26, 1988",0.08695652173913043,-13.043478260869565,-0.7391304347826086,0.34782608695652173,0.5652173913043478,0,23,13,37-18-0,1,Ryan Spann,205 lbs.,"6' 5""","79""","Aug 24, 1991",0.23076923076923078,-2.6153846153846154,-0.46153846153846156,0.23076923076923078,0.6153846153846154,0,13,8,21-9-0,0,not needed,not needed,not needed,not needed
3,not needed,not needed,Alex Caceres,145 lbs.,"5' 10""","73""","Jun 20, 1988",0,14.586206896551724,-1.1379310344827587,0.06896551724137931,0.5517241379310345,0,29,16,21-14-0 (1 NC),0,Giga Chikadze,145 lbs.,"6' 0""","74""","Aug 25, 1988",0.5,8.4,-0.9,0,0.8,0,10,8,15-3-0,0,not needed,not needed,not needed,not needed
4,not needed,not needed,Fernie Garcia,135 lbs.,"5' 7""","67""","Apr 12, 1992",0.25,-10.5,-2,-0.5,0.25,1,4,1,10-4-0,0,Rinya Nakamura,135 lbs.,"5' 7""","68""","Mar 23, 1995",1,13,1.5,0.75,1.0,4,4,4,8-0-0,0,not needed,not needed,not needed,not needed
5,not needed,not needed,Erin Blanchfield,125 lbs.,"5' 4""","66""","May 04, 1999",0,23.666666666666668,1.6666666666666667,0.8333333333333334,1.0,6,6,6,12-1-0,0,Taila Santos,125 lbs.,"5' 6""","68""","Jun 22, 1993",0.375,11.25,1.375,0.875,0.625,1,8,5,19-3-0,1,not needed,not needed,not needed,not needed
6,not needed,not needed,Parker Porter,265 lbs.,"6' 0""","75""","Apr 22, 1985",-0.5,-0.25,0.5,0,0.5,0,8,4,14-9-0,0,Junior Tafa,240 lbs.,"6' 3""","75""","Sep 21, 1996",0.5,10.5,-1,0,0.5,0,2,1,5-1-0,0,not needed,not needed,not needed,not needed
7,not needed,not needed,Lukasz Brzeski,236 lbs.,"6' 4""","78""","May 17, 1992",-0.5,19,-1.5,0.25,0.25,1,4,1,8-4-1 (1 NC),0,Waldo Cortes-Acosta,260 lbs.,"6' 4""","78""","Oct 03, 1991",0.4,30,-0.8,0,0.8,3,5,4,10-1-0,0,not needed,not needed,not needed,not needed
8,not needed,not needed,Garrett Armfield,135 lbs.,"5' 6""","70""","Oct 09, 1996",0.5,11,-1,-0.5,0.5,0,2,1,9-3-0,0,Toshiomi Kazama,135 lbs.,"5' 7""","69""","May 15, 1997",-1,-11.333333333333334,0.3333333333333333,0,0.3333333333333333,1,3,1,10-4-0,0,not needed,not needed,not needed,not needed
9,not needed,not needed,Michal Oleksiejczuk,185 lbs.,"6' 0""","74""","Feb 22, 1995",0.5833333333333334,6.25,-1,-0.3333333333333333,0.5833333333333334,0,12,7,19-6-0 (1 NC),0,Chidi Njokuani,185 lbs.,"6' 3""","80""","Dec 31, 1988",0.3333333333333333,7.666666666666667,-1.1666666666666667,0.16666666666666666,0.5,3,6,3,22-10-0 (1 NC),0,not needed,not needed,not needed,not needed
10,not needed,not needed,Rolando Bedoya,170 lbs.,"5' 11""","74""","Jan 13, 1997",-0.5,28,0,0,0.0,0,2,0,14-3-0,0,Song Kenan,170 lbs.,"6' 0""","71""","Mar 10, 1990",0.375,-13.5,-0.5,-0.125,0.625,2,8,5,20-7-0,0,not needed,not needed,not needed,not needed
11,not needed,not needed,Billy Goff,170 lbs.,"5' 10""","72""","Jun 18, 1998",0.5,22,1,0,1.0,2,2,2,9-2-0,0,Yusaku Kinoshita,170 lbs.,"6' 0""","71""","Aug 21, 2000",0,-3,-1.3333333333333333,0,0.3333333333333333,1,3,1,6-3-0,0,not needed,not needed,not needed,not needed
12,not needed,not needed,JJ Aldrich,125 lbs.,"5' 5""","67""","Sep 29, 1992",0,-6.923076923076923,-0.23076923076923078,-0.07692307692307693,0.6153846153846154,0,13,8,12-6-0,0,Liang Na,125 lbs.,"5' 5""","67""","Jul 27, 1996",-0.3333333333333333,-15,2,0.3333333333333333,0.0,0,3,0,19-7-0,0,not needed,not needed,not needed,not needed
13,not needed,not needed,Jarno Errens,145 lbs.,"5' 11""","73""","Nov 17, 1994",0,-19,-2,0.5,0.0,0,2,0,13-5-1,0,SeungWoo Choi,145 lbs.,"6' 0""","74""","Nov 03, 1992",0,5.222222222222222,-0.7777777777777778,-0.4444444444444444,0.4444444444444444,0,9,4,11-6-0,0,not needed,not needed,not needed,not needed
