fighter_Fighter,fighter_dob,fighter_totalfights,fighter_elo,fighter_losestreak,fighter_winstreak,fighter_titlewins,fighter_oppelo,fighter_wins,fighter_losses,fighter_KD,fighter_KD differential,fighter_Sig. str.,fighter_Sig. str. differential,fighter_Total str.,fighter_Total str. differential,fighter_Td,fighter_Td differential,fighter_Sub. att,fighter_Sub. att differential,fighter_Rev.,fighter_Rev. differential,fighter_Ctrl,fighter_Ctrl differential,fighter_Head,fighter_Head differential,fighter_Body,fighter_Body differential,fighter_Leg,fighter_Leg differential,fighter_Distance,fighter_Distance differential,fighter_Clinch,fighter_Clinch differential,fighter_Ground,fighter_Ground differential,fighter_Sig. str.%,fighter_Sig. str.% differential,fighter_Sig. str.% defense,fighter_Total str.%,fighter_Total str.% differential,fighter_Total str.% defense,fighter_Td%,fighter_Td% differential,fighter_Td% defense,fighter_Head%,fighter_Head% differential,fighter_Head% defense,fighter_Body%,fighter_Body% differential,fighter_Body% defense,fighter_Leg%,fighter_Leg% differential,fighter_Leg% defense,fighter_Distance%,fighter_Distance% differential,fighter_Distance% defense,fighter_Clinch%,fighter_Clinch% differential,fighter_Clinch% defense,fighter_Ground%,fighter_Ground% differential,fighter_Ground% defense,opponent_Fighter,opponent_dob,opponent_totalfights,opponent_elo,opponent_losestreak,opponent_winstreak,opponent_titlewins,opponent_oppelo,opponent_wins,opponent_losses,opponent_KD,opponent_KD differential,opponent_Sig. str.,opponent_Sig. str. differential,opponent_Total str.,opponent_Total str. differential,opponent_Td,opponent_Td differential,opponent_Sub. att,opponent_Sub. att differential,opponent_Rev.,opponent_Rev. differential,opponent_Ctrl,opponent_Ctrl differential,opponent_Head,opponent_Head differential,opponent_Body,opponent_Body differential,opponent_Leg,opponent_Leg differential,opponent_Distance,opponent_Distance differential,opponent_Clinch,opponent_Clinch differential,opponent_Ground,opponent_Ground differential,opponent_Sig. str.%,opponent_Sig. str.% differential,opponent_Sig. str.% defense,opponent_Total str.%,opponent_Total str.% differential,opponent_Total str.% defense,opponent_Td%,opponent_Td% differential,opponent_Td% defense,opponent_Head%,opponent_Head% differential,opponent_Head% defense,opponent_Body%,opponent_Body% differential,opponent_Body% defense,opponent_Leg%,opponent_Leg% differential,opponent_Leg% defense,opponent_Distance%,opponent_Distance% differential,opponent_Distance% defense,opponent_Clinch%,opponent_Clinch% differential,opponent_Clinch% defense,opponent_Ground%,opponent_Ground% differential,opponent_Ground% defense,Result,date
Leon Edwards,1991,17,1193.9398780753645,0,12,3,18245.11262160981,14,2,53.42170381166311,376.0,5451.535639789473,16505.0,6566.956508650343,-44680.0,136.87875886928154,-729.0,49.70138215678695,991.0,17.09934000741565,372.0,287.1689731881065,-2128.8,2726.8572426887395,-4680.0,1324.7291277957827,4634.0,1399.94926930495,16551.0,4474.697366769703,18867.0,532.0872566755602,-3302.0,444.7510163442093,940.0,89.13553725590981,241.44267634558415,997.2416081953222,93.45907156706116,54.43509005385981,739.439024671369,30.54807049254138,258.57094017094016,1413.02094017094,74.47710992069864,153.32966900714231,1165.5100103848417,83.67063033162383,128.12228048639807,561.6733961463373,92.22357460876447,334.29149590302796,596.8591207642933,83.73140848514946,234.08988369127633,1085.5748475677478,54.780003642134915,65.39684584421427,728.4131313131313,72.80914728293371,293.95168067226894,1154.7142857142858,Colby Covington,1988,16,1130.4845830061959,1,0,1,17400.41734271008,12,4,2.293577981651376,-655.0,5958.997746640451,21074.0,10374.8707776876,84390.0,291.29182281062606,4471.0,11.591344731031029,-328.0,9.0,-76.0,555.9079449794011,10585.083333333334,4149.22969803264,24846.0,948.105184915074,-7685.0,861.6628636927369,3913.0,4908.824155061835,15618.0,553.7184276508378,439.0,496.45516392777836,5017.0,40.090489983459065,-64.62552747042503,807.7222438120504,48.288070275115444,0.21486158796988164,699.5312522058681,26.70469903581951,-187.903431372549,878.3333333333334,35.01867704808283,-15.380219397570688,966.3113529962172,46.208573427587766,10.25979690079238,503.01547889995254,57.28405290889414,-19.932514919011084,231.95809523809524,25.995683188165433,-87.36114926553132,858.8654197720266,48.790120573319186,-223.9113737999187,465.75555555555553,40.54635419824308,-247.8889363359952,679.0358974358974,unknown,unknown
Colby Covington,1988,16,1130.4845830061959,1,0,1,17400.41734271008,12,4,2.293577981651376,-655.0,5958.997746640451,21074.0,10374.8707776876,84390.0,291.29182281062606,4471.0,11.591344731031029,-328.0,9.0,-76.0,555.9079449794011,10585.083333333334,4149.22969803264,24846.0,948.105184915074,-7685.0,861.6628636927369,3913.0,4908.824155061835,15618.0,553.7184276508378,439.0,496.45516392777836,5017.0,40.090489983459065,-64.62552747042503,807.7222438120504,48.288070275115444,0.21486158796988164,699.5312522058681,26.70469903581951,-187.903431372549,878.3333333333334,35.01867704808283,-15.380219397570688,966.3113529962172,46.208573427587766,10.25979690079238,503.01547889995254,57.28405290889414,-19.932514919011084,231.95809523809524,25.995683188165433,-87.36114926553132,858.8654197720266,48.790120573319186,-223.9113737999187,465.75555555555553,40.54635419824308,-247.8889363359952,679.0358974358974,Leon Edwards,1991,17,1193.9398780753645,0,12,3,18245.11262160981,14,2,53.42170381166311,376.0,5451.535639789473,16505.0,6566.956508650343,-44680.0,136.87875886928154,-729.0,49.70138215678695,991.0,17.09934000741565,372.0,287.1689731881065,-2128.8,2726.8572426887395,-4680.0,1324.7291277957827,4634.0,1399.94926930495,16551.0,4474.697366769703,18867.0,532.0872566755602,-3302.0,444.7510163442093,940.0,89.13553725590981,241.44267634558415,997.2416081953222,93.45907156706116,54.43509005385981,739.439024671369,30.54807049254138,258.57094017094016,1413.02094017094,74.47710992069864,153.32966900714231,1165.5100103848417,83.67063033162383,128.12228048639807,561.6733961463373,92.22357460876447,334.29149590302796,596.8591207642933,83.73140848514946,234.08988369127633,1085.5748475677478,54.780003642134915,65.39684584421427,728.4131313131313,72.80914728293371,293.95168067226894,1154.7142857142858,unknown,unknown
Alexandre Pantoja,1990,14,1117.1695917348716,0,5,2,14432.233261601225,11,3,34.15603960338401,224.0,4601.957030613804,-2227.0,5306.130149347082,-28598.0,279.7315832848092,2292.0,161.94063941266515,656.0,12.069565217391304,-955.0,391.1880233737802,4015.2833333333333,3341.8075807049813,-15083.0,805.6230744578463,6968.0,454.52637545097673,5888.0,3765.2367987575026,-4020.0,309.625248228668,374.0,527.0949836276338,1419.0,112.29564639095504,22.33441243613857,476.6365048310023,115.47650932290594,-15.586808472448897,411.5489541144154,131.28997807010046,239.62229437229436,718.3071428571429,105.39616287739388,-7.400684235713383,517.4953697024423,156.55507745769194,94.39870299405901,324.9470085470085,40.861235151495315,-321.78776334776336,125.27445887445887,106.50263468892388,0.9984456445031,484.9206850820095,130.04333111448457,285.5038733196628,597.0933583959899,45.01648656275039,118.08192640692641,589.3295454545455,Brandon Royval,1992,8,1039.5998382167672,1,0,0,8336.200091925954,5,3,24.170008019246193,17.0,972.5010262647638,1931.0,1521.3205738985994,11374.0,2.4850139474152773,-765.0,22.050022012910105,3.0,6.90714859437751,153.0,12.62814041795004,-1204.8833333333332,798.1952483423642,4029.0,96.59201628145064,-628.0,77.71376164094907,-1470.0,649.7324028288116,1286.0,33.46517226910731,55.0,289.303451166845,590.0,22.838312208555454,-5.256302139505705,104.3834328261593,23.859735368406895,3.337404853734636,95.82022016483364,2.4850139474152773,-59.19365079365079,127.80634920634921,22.169962249001465,11.751288021394215,127.23526048531987,16.9417419166,-18.16944444444444,77.71666666666667,23.062029564735216,-17.737979797979797,54.67111111111112,16.657696532441406,-18.972083046437557,106.57373722768459,20.499655027727997,54.733333333333334,140.73333333333332,22.63079640374653,30.461355311355312,127.23333333333333,unknown,unknown
Brandon Royval,1992,8,1039.5998382167672,1,0,0,8336.200091925954,5,3,24.170008019246193,17.0,972.5010262647638,1931.0,1521.3205738985994,11374.0,2.4850139474152773,-765.0,22.050022012910105,3.0,6.90714859437751,153.0,12.62814041795004,-1204.8833333333332,798.1952483423642,4029.0,96.59201628145064,-628.0,77.71376164094907,-1470.0,649.7324028288116,1286.0,33.46517226910731,55.0,289.303451166845,590.0,22.838312208555454,-5.256302139505705,104.3834328261593,23.859735368406895,3.337404853734636,95.82022016483364,2.4850139474152773,-59.19365079365079,127.80634920634921,22.169962249001465,11.751288021394215,127.23526048531987,16.9417419166,-18.16944444444444,77.71666666666667,23.062029564735216,-17.737979797979797,54.67111111111112,16.657696532441406,-18.972083046437557,106.57373722768459,20.499655027727997,54.733333333333334,140.73333333333332,22.63079640374653,30.461355311355312,127.23333333333333,Alexandre Pantoja,1990,14,1117.1695917348716,0,5,2,14432.233261601225,11,3,34.15603960338401,224.0,4601.957030613804,-2227.0,5306.130149347082,-28598.0,279.7315832848092,2292.0,161.94063941266515,656.0,12.069565217391304,-955.0,391.1880233737802,4015.2833333333333,3341.8075807049813,-15083.0,805.6230744578463,6968.0,454.52637545097673,5888.0,3765.2367987575026,-4020.0,309.625248228668,374.0,527.0949836276338,1419.0,112.29564639095504,22.33441243613857,476.6365048310023,115.47650932290594,-15.586808472448897,411.5489541144154,131.28997807010046,239.62229437229436,718.3071428571429,105.39616287739388,-7.400684235713383,517.4953697024423,156.55507745769194,94.39870299405901,324.9470085470085,40.861235151495315,-321.78776334776336,125.27445887445887,106.50263468892388,0.9984456445031,484.9206850820095,130.04333111448457,285.5038733196628,597.0933583959899,45.01648656275039,118.08192640692641,589.3295454545455,unknown,unknown
Shavkat Rakhmonov,1994,6,1107.121037921106,0,6,0,6523.2216361897545,6,0,2.1599999999999997,9.0,372.3477906534937,1751.0,641.6365028651079,3680.0,9.553002949846348,81.0,11.376390282674885,118.0,0.0,0.0,53.137314450796325,495.3166666666666,266.2987713351735,1096.0,96.65470359903368,765.0,9.394315719286547,-110.0,182.83340064481985,120.0,107.37840291679642,995.0,82.13598709187745,636.0,6.220162813692059,10.840968006286825,42.51582922824302,6.985279261025698,11.400992124392715,36.533623506037294,3.608322920217383,30.2,91.0,5.815319006811092,20.418656817565733,55.94219457013574,8.741822467392552,4.792424242424244,16.333333333333336,1.9645774295715952,-45.0,20.0,5.420342382808919,5.95159524580054,45.75314205174671,4.503501793246691,-15.770833333333336,26.416666666666668,5.923760638917797,7.66083916083916,47.0,Stephen Thompson,1983,20,1075.4429756762374,1,0,0,21294.14295461165,12,7,78.98264005155926,-10.0,11956.321459633133,41976.0,14658.333907206488,-8031.0,17.090608339817297,-4399.0,0.0,-1328.0,0.26666666666666666,0.0,87.31957585449504,-10163.0,8027.706189086292,41891.0,2784.9163113813693,25114.0,1143.698959165471,-25029.0,10944.715770650339,79484.0,578.4443453533405,-9723.0,433.1613436294539,-27785.0,110.59405462175755,-128.26693346467198,1324.4695144526781,123.58223826226656,-70.89079597737123,1199.3940208944982,6.423742831618685,-722.0384615384615,2111.128205128205,90.48315710019115,-90.14023371329151,1628.452970857947,159.67482140171307,255.3361097718667,975.7707346192826,173.31691752111868,318.2785315338256,925.8276911976913,106.20260033036504,153.87962561872766,1645.138060284,136.54672019019762,82.83133481278719,1138.0239755054279,100.3564518991199,-381.925,1516.25,unknown,unknown
Stephen Thompson,1983,20,1075.4429756762374,1,0,0,21294.14295461165,12,7,78.98264005155926,-10.0,11956.321459633133,41976.0,14658.333907206488,-8031.0,17.090608339817297,-4399.0,0.0,-1328.0,0.26666666666666666,0.0,87.31957585449504,-10163.0,8027.706189086292,41891.0,2784.9163113813693,25114.0,1143.698959165471,-25029.0,10944.715770650339,79484.0,578.4443453533405,-9723.0,433.1613436294539,-27785.0,110.59405462175755,-128.26693346467198,1324.4695144526781,123.58223826226656,-70.89079597737123,1199.3940208944982,6.423742831618685,-722.0384615384615,2111.128205128205,90.48315710019115,-90.14023371329151,1628.452970857947,159.67482140171307,255.3361097718667,975.7707346192826,173.31691752111868,318.2785315338256,925.8276911976913,106.20260033036504,153.87962561872766,1645.138060284,136.54672019019762,82.83133481278719,1138.0239755054279,100.3564518991199,-381.925,1516.25,Shavkat Rakhmonov,1994,6,1107.121037921106,0,6,0,6523.2216361897545,6,0,2.1599999999999997,9.0,372.3477906534937,1751.0,641.6365028651079,3680.0,9.553002949846348,81.0,11.376390282674885,118.0,0.0,0.0,53.137314450796325,495.3166666666666,266.2987713351735,1096.0,96.65470359903368,765.0,9.394315719286547,-110.0,182.83340064481985,120.0,107.37840291679642,995.0,82.13598709187745,636.0,6.220162813692059,10.840968006286825,42.51582922824302,6.985279261025698,11.400992124392715,36.533623506037294,3.608322920217383,30.2,91.0,5.815319006811092,20.418656817565733,55.94219457013574,8.741822467392552,4.792424242424244,16.333333333333336,1.9645774295715952,-45.0,20.0,5.420342382808919,5.95159524580054,45.75314205174671,4.503501793246691,-15.770833333333336,26.416666666666668,5.923760638917797,7.66083916083916,47.0,unknown,unknown
Paddy Pimblett,1995,5,1079.258481211227,0,5,0,5137.751012020622,5,0,1.8930817610062893,26.0,277.351851719573,1163.0,405.77896593763876,1351.0,3.873499884426286,-38.0,5.683228067545027,40.0,0.0,0.0,18.396087925055582,92.41666666666663,180.70391530267878,1046.0,39.435835560234295,-334.0,57.21210085665995,451.0,184.7463573416655,371.0,18.03013469376738,47.0,74.57535968414017,745.0,2.66476678512747,-5.161899142701509,20.770945153583646,3.135409607906653,-5.67978939798687,15.749310701736075,2.0994824171773776,5.250000000000001,43.0,2.0915946418656706,-6.476211249806103,24.652216869152355,2.9186888197663063,1.0177793339558039,18.525132275132275,5.087216566067496,2.8095238095238084,4.0,2.2884595445861216,-6.684126620008142,22.751067726599643,1.8253469016834472,-6.700000000000001,30.766666666666666,4.029426718679301,8.17261904761905,19.69047619047619,Tony Ferguson,1984,23,1063.982273274068,7,0,2,24299.773883753314,15,8,15.703564727954973,-1241.0,21035.80816204945,-37126.0,24379.289968394623,-71208.0,72.40096781144027,-3763.0,234.1127306193018,-456.0,9.933333333333334,-297.0,80.34527025597117,-17453.13333333333,12396.66052447121,-57345.0,4658.984755090967,10394.0,3980.162882487272,9825.0,19015.028260891806,-5798.0,324.4256958035923,1167.0,1696.3542053540511,-32495.0,185.389967390494,-124.62387925061995,2121.5480978524756,206.14469694563599,-83.32308174483279,1953.9925394434824,51.21361968652389,-1206.2666666666667,2798.0666666666666,153.76582213928782,-189.93212021275906,2423.227083092559,245.49052227597969,-304.2520058187658,1182.4568546277399,329.15410865498933,-197.57797514890888,739.2126373626375,174.64280202696014,-121.43363491000085,2262.1781424900373,158.06944226870135,476.31288156288156,2754.811965811966,199.83335750987962,88.66406476383656,2241.526354679803,unknown,unknown
Tony Ferguson,1984,23,1063.982273274068,7,0,2,24299.773883753314,15,8,15.703564727954973,-1241.0,21035.80816204945,-37126.0,24379.289968394623,-71208.0,72.40096781144027,-3763.0,234.1127306193018,-456.0,9.933333333333334,-297.0,80.34527025597117,-17453.13333333333,12396.66052447121,-57345.0,4658.984755090967,10394.0,3980.162882487272,9825.0,19015.028260891806,-5798.0,324.4256958035923,1167.0,1696.3542053540511,-32495.0,185.389967390494,-124.62387925061995,2121.5480978524756,206.14469694563599,-83.32308174483279,1953.9925394434824,51.21361968652389,-1206.2666666666667,2798.0666666666666,153.76582213928782,-189.93212021275906,2423.227083092559,245.49052227597969,-304.2520058187658,1182.4568546277399,329.15410865498933,-197.57797514890888,739.2126373626375,174.64280202696014,-121.43363491000085,2262.1781424900373,158.06944226870135,476.31288156288156,2754.811965811966,199.83335750987962,88.66406476383656,2241.526354679803,Paddy Pimblett,1995,5,1079.258481211227,0,5,0,5137.751012020622,5,0,1.8930817610062893,26.0,277.351851719573,1163.0,405.77896593763876,1351.0,3.873499884426286,-38.0,5.683228067545027,40.0,0.0,0.0,18.396087925055582,92.41666666666663,180.70391530267878,1046.0,39.435835560234295,-334.0,57.21210085665995,451.0,184.7463573416655,371.0,18.03013469376738,47.0,74.57535968414017,745.0,2.66476678512747,-5.161899142701509,20.770945153583646,3.135409607906653,-5.67978939798687,15.749310701736075,2.0994824171773776,5.250000000000001,43.0,2.0915946418656706,-6.476211249806103,24.652216869152355,2.9186888197663063,1.0177793339558039,18.525132275132275,5.087216566067496,2.8095238095238084,4.0,2.2884595445861216,-6.684126620008142,22.751067726599643,1.8253469016834472,-6.700000000000001,30.766666666666666,4.029426718679301,8.17261904761905,19.69047619047619,unknown,unknown
Josh Emmett,1985,14,1096.9464040654805,0,1,0,14791.559505537003,10,4,151.1422027595946,491.0,3476.086508496412,-19289.0,3871.951867238772,-26074.0,24.056171735241506,-355.0,0.26666666666666666,-140.0,6.666666666666667,100.0,72.76012535743331,75.26666666666654,2370.674109671636,-18862.0,726.0105105358027,2106.0,379.40188828897277,-2533.0,2886.9073668279684,-15189.0,62.96283840190818,-1205.0,526.2163032665352,-2895.0,48.11409971246071,1.0777126836149336,675.104577112757,49.93911103902428,-7.932188520601038,650.5534747650006,9.975154044921487,-73.83333333333333,813.5,49.037722497098116,7.8186659500467215,727.5520382797671,61.27491368454764,0.17870520872710927,486.4782832505658,62.453081924313025,67.99838446577579,324.14935064935065,43.773116658693965,-14.765817453113812,691.6799710672017,15.122111841646724,-190.708658008658,617.1809523809524,37.753136920644614,-1.1814232800286817,661.5802744425387,Bryce Mitchell,1994,9,1073.0881580591235,1,0,0,9332.986823604142,7,2,2.4,-94.0,534.5948717948718,1700.0,1161.646153846154,7679.0,54.07692307692308,725.0,13.943589743589744,130.0,0.26666666666666666,-116.0,108.6465811965812,1228.8666666666668,344.31794871794875,886.0,147.21025641025642,844.0,43.06666666666666,-30.0,353.6769230769231,51.0,11.0,-156.0,169.91794871794872,1805.0,10.72547435708904,22.51675842859547,183.62365406127088,11.753275998679356,14.093234910553807,161.84693570660852,8.54991452991453,98.28931623931624,281.75,10.103186260805135,27.3525576956269,195.0908636485971,11.955508935508934,14.918348318348318,163.23956043956042,13.133333333333333,-34.5,94.5,9.637431896889371,13.595348304414077,193.83328562517283,7.557777777777778,-11.25,201.38333333333333,11.503320362610717,16.282711422066743,167.69444444444446,unknown,unknown
Bryce Mitchell,1994,9,1073.0881580591235,1,0,0,9332.986823604142,7,2,2.4,-94.0,534.5948717948718,1700.0,1161.646153846154,7679.0,54.07692307692308,725.0,13.943589743589744,130.0,0.26666666666666666,-116.0,108.6465811965812,1228.8666666666668,344.31794871794875,886.0,147.21025641025642,844.0,43.06666666666666,-30.0,353.6769230769231,51.0,11.0,-156.0,169.91794871794872,1805.0,10.72547435708904,22.51675842859547,183.62365406127088,11.753275998679356,14.093234910553807,161.84693570660852,8.54991452991453,98.28931623931624,281.75,10.103186260805135,27.3525576956269,195.0908636485971,11.955508935508934,14.918348318348318,163.23956043956042,13.133333333333333,-34.5,94.5,9.637431896889371,13.595348304414077,193.83328562517283,7.557777777777778,-11.25,201.38333333333333,11.503320362610717,16.282711422066743,167.69444444444446,Josh Emmett,1985,14,1096.9464040654805,0,1,0,14791.559505537003,10,4,151.1422027595946,491.0,3476.086508496412,-19289.0,3871.951867238772,-26074.0,24.056171735241506,-355.0,0.26666666666666666,-140.0,6.666666666666667,100.0,72.76012535743331,75.26666666666654,2370.674109671636,-18862.0,726.0105105358027,2106.0,379.40188828897277,-2533.0,2886.9073668279684,-15189.0,62.96283840190818,-1205.0,526.2163032665352,-2895.0,48.11409971246071,1.0777126836149336,675.104577112757,49.93911103902428,-7.932188520601038,650.5534747650006,9.975154044921487,-73.83333333333333,813.5,49.037722497098116,7.8186659500467215,727.5520382797671,61.27491368454764,0.17870520872710927,486.4782832505658,62.453081924313025,67.99838446577579,324.14935064935065,43.773116658693965,-14.765817453113812,691.6799710672017,15.122111841646724,-190.708658008658,617.1809523809524,37.753136920644614,-1.1814232800286817,661.5802744425387,unknown,unknown
