Red Fighter,Blue Fighter,Predicted Result,Probability
Uriah Hall,Sean Strickland,loss,0.7958735541584974
Miles Johns,Anderson Dos Santos,win,0.7720237355385627
Ode Osbourne,Manel Kape,loss,0.5543123410731934
Jessica Penne,Karolina Kowalkiewicz,win,0.5034267848085954
Ed Herman,Alonzo Menifield,loss,0.673696590864242
Bobby Green,Rafael Fiziev,win,0.5500877457464981
Casey Kenney,Song Yadong,win,0.5758769594405961
Tecia Torres,Angela Hill,loss,0.4998590278920172
Michael Chiesa,Vicente Luque,loss,0.5490126444447119
Jose Aldo,Pedro Munhoz,loss,0.7921019837545403
Derrick Lewis,Ciryl Gane,loss,0.7654544387193367
Brian Kelleher,Domingo Pilarte,win,0.6745724184507526
Brandon Royval,Alexandre Pantoja,loss,0.7143431484135477
Austin Hubbard,Vinc Pichel,loss,0.6761154695841098
Chase Sherman,Parker Porter,loss,0.5088197573382282
Clay Guida,Mark Madsen,loss,0.6655768820103146
Jared Cannonier,Kelvin Gastelum,win,0.7475232392351066
Dustin Jacoby,Darren Stewart,win,0.7700890403575058
Sam Alvey,Wellington Turman,loss,0.5572829163537221
Alessio Di Chirico,Abdul Razak Alhassan,win,0.5184502373323009
Gerald Meerschaert,Makhmud Muradov,loss,0.660457811372927
Kevin Lee,Daniel Rodriguez,win,0.6716759155451514
Edson Barboza,Giga Chikadze,loss,0.6301000296196896
Dalcha Lungiambula,Marc-Andre Barriault,loss,0.7813174501425536
Charles Jourdain,Julian Erosa,win,0.6504243502870651
Ji Yeon Kim,Molly McCann,loss,0.7278194943255947
Modestas Bukauskas,Khalil Rountree Jr.,loss,0.6860484390736102
David Zawada,Alex Morono,loss,0.7376012593749507
Serghei Spivac,Tom Aspinall,loss,0.5008506464899144
Darren Till,Derek Brunson,loss,0.611778065790259
Emily Whitmire,Hannah Goldy,loss,0.6289585738077971
Alatengheili,Gustavo Lopez,win,0.5036585350254071
Raquel Pennington,Pannie Kianzad,win,0.7138069075333555
Mike Rodriguez,Tafon Nchukwi,win,0.6681659898362696
Joaquin Buckley,Antonio Arroyo,loss,0.5881050729224467
Nate Maness,Tony Gravely,loss,0.5625331393063886
Arman Tsarukyan,Christos Giagos,win,0.8012112842994789
Ion Cutelaba,Devin Clark,win,0.5952240871053635
Ryan Spann,Anthony Smith,win,0.6804797392147619
Jonathan Pearce,Omar Morales,loss,0.6021390856648249
Taila Santos,Roxanne Modafferi,win,0.7694933798888411
Shamil Abdurakhimov,Chris Daukaus,loss,0.7202859825089165
Dan Hooker,Nasrat Haqparast,loss,0.5884642836224757
Merab Dvalishvili,Marlon Moraes,win,0.8574350631373645
Cynthia Calvillo,Jessica Andrade,win,0.6295832874582356
Jairzinho Rozenstruik,Curtis Blaydes,loss,0.6530959192199719
Robbie Lawler,Nick Diaz,loss,0.6303100545473407
Valentina Shevchenko,Lauren Murphy,win,0.9603674091599438
Alexander Volkanovski,Brian Ortega,win,0.7771132983062293
Alejandro Perez,Johnny Eduardo,win,0.6364253797685724
Jamie Mullarkey,Devonte Smith,loss,0.5403501506992985
Bethe Correia,Karol Rosa,loss,0.8105478312425884
Antonina Shevchenko,Casey O'Neill,loss,0.606147935415359
Jared Gordon,Joe Solecki,loss,0.6563117825518383
Krzysztof Jotko,Misha Cirkunov,loss,0.4915618911313485
Niko Price,Alex Oliveira,win,0.5499704189897812
Kyle Daukaus,Kevin Holland,loss,0.772611444825164
Kevin Holland,Kyle Daukaus,win,0.6451313256380512
Thiago Santos,Johnny Walker,win,0.7123951093826777
Damon Jackson,Charles Rosa,loss,0.5176362927259887
Jared Vanderaa,Alexandr Romanov,loss,0.8723330411989156
Felipe Colares,Chris Gutierrez,loss,0.6513865184211061
Mariya Agapova,Sabina Mazo,loss,0.6264444809001757
Matheus Nicolau,Tim Elliott,win,0.628901744618692
Jared Gooden,Randy Brown,loss,0.5905080700440115
Marina Rodriguez,Mackenzie Dern,win,0.6778597918012738
Brandon Davis,Batgerel Danaa,loss,0.5659816725727634
Loopy Godinez,Luana Carolina,loss,0.5449393015218338
Ramazan Emeev,Danny Roberts,win,0.7796526331245874
Bruno Silva,Andrew Sanchez,win,0.6570432030706143
Ludovit Klein,Nate Landwehr,loss,0.5612237813841374
Manon Fiorot,Mayra Bueno Silva,win,0.7062171432859614
Carlos Felipe,Andrei Arlovski,loss,0.5721870372960324
Norma Dumont,Aspen Ladd,win,0.5028309620776737
Livinha Souza,Randa Markos,loss,0.6564734525711413
Khama Worthy,Jai Herbert,win,0.5301900345801739
Jamie Pickett,Laureano Staropoli,loss,0.7978374738066429
Nicolae Negumereanu,Ike Villanueva,win,0.6542244719886041
Francisco Trinaldo,Dwight Grant,win,0.6591429341252435
Alex Caceres,SeungWoo Choi,loss,0.7068687611715228
Jessica-Rose Clark,Joselyne Edwards,win,0.5615907529638601
Ricky Glenn,Grant Dawson,win,0.5211329051111274
Marvin Vettori,Paulo Costa,win,0.7523153856814095
Lerone Murphy,Makwan Amirkhani,win,0.5779081100040587
Zubaira Tukhugov,Ricardo Ramos,win,0.5607059259910016
Virna Jandiroba,Amanda Ribas,win,0.5291954326506263
Volkan Oezdemir,Magomed Ankalaev,loss,0.5847069597498857
Li Jingliang,Khamzat Chimaev,loss,0.7266846373362905
Alexander Volkov,Marcin Tybura,win,0.6688801397754096
Islam Makhachev,Dan Hooker,win,0.8288093106851037
Cory Sandhagen,Petr Yan,loss,0.8982363030580368
Glover Teixeira,Jan Blachowicz,loss,0.644777374841917
Dustin Jacoby,John Allan,win,0.689815552895337
Nassourdine Imavov,Edmen Shahbazyan,loss,0.5573094147118159
Bobby Green,Al Iaquinta,win,0.7349996083500641
Michael Chandler,Justin Gaethje,loss,0.609989541107196
Billy Quarantillo,Shane Burgos,win,0.5800197058404815
Frankie Edgar,Marlon Vera,loss,0.6533845446307041
Zhang Weili,Rose Namajunas,loss,0.5773930817266217
Colby Covington,Kamaru Usman,loss,0.6501203619282457
Da Woon Jung,Kennedy Nzechukwu,win,0.6305802284224323
Liana Jojua,Cortney Casey,loss,0.8131017819023043
Andrea Lee,Cynthia Calvillo,loss,0.6965425649080795
Thiago Moises,Joel Alvarez,win,0.5611889864035657
Julio Arce,Song Yadong,loss,0.6829845391744306
Khaos Williams,Miguel Baeza,loss,0.6793180566282856
